Mã trạm,Tên trạm,Tỉnh/Thành phố,Huyện,Vĩ độ,Kinh độ,Dấu thời gian,Nguồn dữ liệu,Chất lượng dữ liệu,Thời gian cập nhật,Nhiệt độ hiện tại,Nhiệt độ tối đa,Nhiệt độ tối thiểu,Nhiệt độ trung bình,Độ ẩm hiện tại,Độ ẩm tối đa,Độ ẩm tối thiểu,Độ ẩm trung bình,Áp suất hiện tại,Áp suất tối đa,Áp suất tối thiểu,Áp suất trung bình,Tốc độ gió hiện tại,Tốc độ gió tối đa,Tốc độ gió tối thiểu,Tốc độ gió trung bình,Hướng gió hiện tại,Hướng gió trung bình,Lượng mưa hiện tại,Lượng mưa tối đa,Lượng mưa tối thiểu,Lượng mưa trung bình,Tổng lượng mưa,Độ che phủ mây hiện tại,Độ che phủ mây tối đa,Độ che phủ mây tổi thiểu,Độ che phủ mây trung bình,Tầm nhìn hiện tại,Tầm nhìn đa,Tầm nhìn tối thiểu,Tầm nhìn trung bình,Xác xuất sấm sét,Tình trạng,Thời gian cập nhập
HN_BD,Quận Ba Đình - Hà Nội,Hà Nội,Ba Đình,21.0338,105.8142,2026-01-24 19:01:24,openmeteo,medium,2026-01-24T19:00,13.8,25.5,11.8,18.4,89.0,99.0,61.0,86.5,1019.9,1025.5,1015.0,1019.0,2.5,14.6,0.5,6.6,98.0,119.5,0.0,0.1,0.0,0.0,0.4,51.0,61.0,27.0,58.0,7.0,14.0,5.0,12.0,13.0,0.0,24/01/2026 19:18
KH_TS,Bạch Ngọc 1,Hà Giang,Châu Thành,13.2167,106.3366,2026-01-24 19:01:24,openmeteo,medium,2026-01-24T19:00,20.9,27.8,16.3,21.8,76.0,98.0,50.0,76.6,1016.8,1020.6,1013.2,1016.8,4.3,14.7,0.7,6.4,98.0,100.3,0.0,0.0,0.0,0.0,0.0,51.0,77.0,25.0,50.0,10.0,15.0,5.0,9.0,15.0,0.0,24/01/2026 19:17
KH_TS,Bạch Ngọc 2,Hà Giang,Châu Thành,13.2167,106.3366,2026-01-24 19:01:24,openmeteo,medium,2026-01-24T19:00,20.9,27.8,16.3,21.8,76.0,98.0,50.0,76.6,1016.8,1020.6,1013.2,1016.8,4.3,14.7,0.7,6.4,98.0,100.3,0.0,0.0,0.0,0.0,0.0,51.0,77.0,25.0,50.0,10.0,15.0,5.0,9.0,15.0,0.0,24/01/2026 19:17
KH_TS,Bản Díu,Hà Giang,Châu Thành,13.2167,106.3366,2026-01-24 19:01:24,openmeteo,medium,2026-01-24T19:00,20.9,27.8,16.3,21.8,76.0,98.0,50.0,76.6,1016.8,1020.6,1013.2,1016.8,4.3,14.7,0.7,6.4,98.0,100.3,0.0,0.0,0.0,0.0,4.4,51.0,77.0,25.0,50.0,10.0,15.0,5.0,9.0,15.0,0.0,24/01/2026 19:17
KH_TS,Bản Ngò,Hà Giang,Châu Thành,13.2167,106.3366,2026-01-24 19:01:24,openmeteo,medium,2026-01-24T19:00,20.9,27.8,16.3,21.8,76.0,98.0,50.0,76.6,1016.8,1020.6,1013.2,1016.8,4.3,14.7,0.7,6.4,98.0,100.3,0.0,0.0,0.0,0.0,0.0,51.0,77.0,25.0,50.0,10.0,15.0,5.0,9.0,15.0,0.0,24/01/2026 19:17
KH_TS,Bản Ngần,Hà Giang,Châu Thành,13.2167,106.3366,2026-01-24 19:01:24,openmeteo,medium,2026-01-24T19:00,20.9,27.8,16.3,21.8,76.0,98.0,50.0,76.6,1016.8,1020.6,1013.2,1016.8,4.3,14.7,0.7,6.4,98.0,100.3,0.0,0.0,0.0,0.0,0.0,51.0,77.0,25.0,50.0,10.0,15.0,5.0,9.0,15.0,0.0,24/01/2026 19:17
KH_TS,Bản Nhùng,Hà Giang,Châu Thành,13.2167,106.3366,2026-01-24 19:01:24,openmeteo,medium,2026-01-24T19:00,20.9,27.8,16.3,21.8,76.0,98.0,50.0,76.6,1016.8,1020.6,1013.2,1016.8,4.3,14.7,0.7,6.4,98.0,100.3,0.0,0.0,0.0,0.0,0.0,51.0,77.0,25.0,50.0,10.0,15.0,5.0,9.0,15.0,0.0,24/01/2026 19:17
KH_TS,Bản Phùng,Hà Giang,Châu Thành,13.2167,106.3366,2026-01-24 19:01:24,openmeteo,medium,2026-01-24T19:00,20.9,27.8,16.3,21.8,76.0,98.0,50.0,76.6,1016.8,1020.6,1013.2,1016.8,4.3,14.7,0.7,6.4,98.0,100.3,0.0,0.0,0.0,0.0,0.0,51.0,77.0,25.0,50.0,10.0,15.0,5.0,9.0,15.0,0.0,24/01/2026 19:17
KH_TS,Bản Péo,Hà Giang,Châu Thành,13.2167,106.3366,2026-01-24 19:01:24,openmeteo,medium,2026-01-24T19:00,20.9,27.8,16.3,21.8,76.0,98.0,50.0,76.6,1016.8,1020.6,1013.2,1016.8,4.3,14.7,0.7,6.4,98.0,100.3,0.0,0.0,0.0,0.0,0.0,51.0,77.0,25.0,50.0,10.0,15.0,5.0,9.0,15.0,0.0,24/01/2026 19:17
KH_TS,Bản Rịa,Hà Giang,Châu Thành,13.2167,106.3366,2026-01-24 19:01:24,openmeteo,medium,2026-01-24T19:00,20.9,27.8,16.3,21.8,76.0,98.0,50.0,76.6,1016.8,1020.6,1013.2,1016.8,4.3,14.7,0.7,6.4,98.0,100.3,0.0,0.0,0.0,0.0,0.0,51.0,77.0,25.0,50.0,10.0,15.0,5.0,9.0,15.0,0.0,24/01/2026 19:17
