station_id,station_name,province,district,latitude,longitude,timestamp,data_source,data_quality,data_time,temperature_current,temperature_max,temperature_min,temperature_avg,humidity_current,humidity_max,humidity_min,humidity_avg,pressure_current,pressure_max,pressure_min,pressure_avg,wind_speed_current,wind_speed_max,wind_speed_min,wind_speed_avg,wind_direction_current,wind_direction_avg,rain_current,rain_max,rain_min,rain_avg,rain_total,cloud_cover_current,cloud_cover_max,cloud_cover_min,cloud_cover_avg,visibility_current,visibility_max,visibility_min,visibility_avg,thunder_probability,status
CM_TV,Huyện Thới Bình - Cà Mau,Cà Mau,Thới Bình,9.35,105.1,,openmeteo,medium,,30.7,34.4,22.3,27.7,57.0,94.0,39.0,69.7,1010.9,1014.7,1004.9,1010.2,16.9,22.1,3.1,10.6,90.0,93.0,0.0,0.0,0.0,0.0,0.0,55.0,85.0,13.0,38.0,14.0,19.0,2.0,8.0,20.0,0.0
CM_TR,Huyện Trần Văn Thời - Cà Mau,Cà Mau,Trần Văn Thời,9.0833,104.9667,,openmeteo,medium,,30.0,33.8,23.2,27.7,60.0,94.0,43.0,71.8,1010.8,1014.5,1005.2,1010.1,18.7,26.3,4.0,13.8,89.0,91.7,0.0,0.0,0.0,0.0,0.0,60.0,84.0,17.0,31.0,12.0,20.0,8.0,9.0,3.0,0.0
CM_UM,Huyện U Minh - Cà Mau,Cà Mau,U Minh,9.4,104.9833,,openmeteo,medium,,30.0,33.9,23.5,27.9,61.0,91.0,42.0,70.5,1010.9,1014.6,1005.0,1010.1,19.5,25.5,2.5,13.7,92.0,93.6,0.0,0.0,0.0,0.0,0.0,79.0,66.0,22.0,57.0,15.0,18.0,3.0,12.0,24.0,0.0
TG_MT,Thành phố Mỹ Tho - Tiền Giang,Tiền Giang,Mỹ Tho,10.35,106.35,,openmeteo,medium,,31.7,34.3,22.8,27.6,50.0,91.0,39.0,70.0,1011.1,1014.7,1005.3,1010.3,15.2,20.4,0.8,10.5,85.0,103.7,0.0,0.1,0.0,0.0,0.1,37.0,62.0,21.0,51.0,6.0,15.0,8.0,6.0,7.0,0.0
TG_GL,Thị xã Gò Công - Tiền Giang,Tiền Giang,Gò Công,10.3667,106.6667,,openmeteo,medium,,31.6,33.4,23.1,27.4,49.0,90.0,42.0,70.9,1011.1,1014.7,1005.6,1010.3,15.5,20.7,0.7,11.4,85.0,101.6,0.0,0.0,0.0,0.0,0.0,68.0,90.0,34.0,60.0,14.0,14.0,4.0,12.0,9.0,0.0
TG_CT,Huyện Cái Bè - Tiền Giang,Tiền Giang,Cái Bè,10.3333,105.95,,openmeteo,medium,,31.1,35.0,23.0,27.9,56.0,93.0,36.0,69.0,1011.1,1014.8,1004.8,1010.2,13.4,19.6,1.9,9.2,84.0,107.9,0.0,0.0,0.0,0.0,0.0,44.0,71.0,35.0,60.0,14.0,11.0,7.0,6.0,14.0,0.0
TG_CL,Huyện Châu Thành - Tiền Giang,Tiền Giang,Châu Thành,10.45,106.25,,openmeteo,medium,,31.0,35.0,22.7,27.6,58.0,93.0,35.0,70.1,1011.2,1014.7,1004.9,1010.2,11.4,18.4,1.3,8.8,77.0,110.1,0.0,0.1,0.0,0.0,0.2,72.0,82.0,12.0,34.0,15.0,14.0,3.0,9.0,22.0,0.0
TG_GC,Huyện Gò Công Tây - Tiền Giang,Tiền Giang,Gò Công Tây,10.35,106.6,,openmeteo,medium,,31.6,33.4,23.1,27.4,49.0,90.0,42.0,70.9,1011.1,1014.7,1005.6,1010.3,15.5,20.7,0.7,11.4,85.0,101.6,0.0,0.0,0.0,0.0,0.0,31.0,92.0,35.0,43.0,6.0,15.0,7.0,12.0,4.0,0.0
TG_GD,Huyện Gò Công Đông - Tiền Giang,Tiền Giang,Gò Công Đông,10.3667,106.7167,,openmeteo,medium,,31.0,33.0,22.8,26.9,53.0,88.0,47.0,72.7,1011.2,1014.7,1005.9,1010.4,15.5,21.9,0.0,12.5,86.0,96.6,0.0,0.0,0.0,0.0,0.0,23.0,77.0,22.0,48.0,8.0,15.0,5.0,7.0,5.0,0.0
TG_TP,Huyện Tân Phú Đông - Tiền Giang,Tiền Giang,Tân Phú Đông,10.25,106.6,,openmeteo,medium,,31.1,32.9,24.0,27.4,53.0,86.0,47.0,71.5,1011.2,1014.7,1005.9,1010.5,17.4,22.0,2.9,13.4,84.0,94.4,0.0,0.0,0.0,0.0,0.0,70.0,70.0,21.0,33.0,9.0,19.0,3.0,9.0,6.0,0.0
