Tỉnh/Thành phố,Tên trạm,Tổng lượng mưa,Thời gian cập nhập
Hà Giang,Bạch Ngọc 1,0.0,2026-01-24 19:17:00
Hà Giang,Bạch Ngọc 2,0.0,2026-01-24 19:17:00
Hà Giang,Bản Díu,4.4,2026-01-24 19:17:00
Hà Giang,Bản Ngò,0.0,2026-01-24 19:17:00
Hà Giang,Bản Ngần,0.0,2026-01-24 19:17:00
Hà Giang,Bản Nhùng,0.0,2026-01-24 19:17:00
Hà Giang,Bản Phùng,0.0,2026-01-24 19:17:00
Hà Giang,Bản Péo,0.0,2026-01-24 19:17:00
Hà Giang,Bản Rịa,0.0,2026-01-24 19:17:00
Hà Giang,Cao Bồ,0.0,2026-01-24 19:17:00
Hà Giang,Cao Bồ 1,0.0,2026-01-24 19:17:00
Hà Giang,Cao Bồ 2,0.0,2026-01-24 19:17:00
Hà Giang,Chi cục thủy lợi,0.0,2026-01-24 19:17:00
Hà Giang,Chiến Phố,0.0,2026-01-24 19:17:00
Hà Giang,Chế Là,0.0,2026-01-24 19:17:00
Hà Giang,Cốc Rế,0.2,2026-01-24 19:17:00
Hà Giang,Du Già,0.0,2026-01-24 19:17:00
Hà Giang,Du Già 2,0.0,2026-01-24 19:17:00
Hà Giang,Du Già 3,0.0,2026-01-24 19:17:00
Hà Giang,Giáp Trung,0.0,2026-01-24 19:17:00
Hà Giang,Huyện Bắc Mê,0.0,2026-01-24 19:17:00
Hà Giang,Hồ Thầu 1,0.0,2026-01-24 19:17:00
Hà Giang,Hồ Thầu 2,0.0,2026-01-24 19:17:00
Hà Giang,Lao Chải,0.0,2026-01-24 19:17:00
Hà Giang,Linh Hồ,0.0,2026-01-24 19:17:00
Hà Giang,Lũng Hồ 1,0.0,2026-01-24 19:17:00
Hà Giang,Lạc Nông 1,0.2,2026-01-24 19:17:00
Hà Giang,Minh Ngọc,0.0,2026-01-24 19:17:00
Hà Giang,Minh Sơn 1,0.0,2026-01-24 19:17:00
Hà Giang,Minh Sơn 2,0.0,2026-01-24 19:17:00
Hà Giang,Mèo Vạc,0.0,2026-01-24 19:17:00
Hà Giang,Mậu Long,0.0,2026-01-24 19:17:00
Hà Giang,Ngam La 1,0.0,2026-01-24 19:17:00
Hà Giang,Ngam La 2,0.0,2026-01-24 19:17:00
Hà Giang,Ngọc Long,0.0,2026-01-24 19:17:00
Hà Giang,Nà Chì,0.0,2026-01-24 19:17:00
Hà Giang,Nàng Đôn,0.2,2026-01-24 19:17:00
Hà Giang,Nấm Dẩn 2,0.4,2026-01-24 19:17:00
Hà Giang,Nậm Ban,0.0,2026-01-24 19:17:00
Hà Giang,Nậm Ban 1,0.0,2026-01-24 19:17:00
Hà Giang,Nậm Ban 2,0.0,2026-01-24 19:17:00
Hà Giang,Nậm Dịch,0.0,2026-01-24 19:17:00
Hà Giang,Nậm Khòa,0.0,2026-01-24 19:17:00
Hà Giang,Nậm Ty,2.4,2026-01-24 19:17:00
Hà Giang,Phú Nam 1,3.0,2026-01-24 19:17:00
Hà Giang,Phú Nam 2,1.2,2026-01-24 19:17:00
Hà Giang,Phương Độ,0.0,2026-01-24 19:17:00
Hà Giang,Quyết Tiến,0.0,2026-01-24 19:17:00
Hà Giang,Quản Bạ,0.0,2026-01-24 19:17:00
Hà Giang,Quảng Nguyên,0.0,2026-01-24 19:17:00
Hà Giang,Quảng Ngần,0.0,2026-01-24 19:17:00
Hà Giang,Thanh Thủy,0.0,2026-01-24 19:17:00
Hà Giang,Thanh Đức,0.0,2026-01-24 19:17:00
Hà Giang,Thu Tà,0.0,2026-01-24 19:17:00
Hà Giang,Thuận Hòa,0.2,2026-01-24 19:17:00
Hà Giang,Thàng Tín,0.0,2026-01-24 19:17:00
Hà Giang,Thái An,0.0,2026-01-24 19:17:00
Hà Giang,Thông Nguyên,1.4,2026-01-24 19:17:00
Hà Giang,Thượng Sơn,0.2,2026-01-24 19:17:00
Hà Giang,Thượng Sơn 1,1.2,2026-01-24 19:17:00
Hà Giang,Thượng Sơn 2,0.0,2026-01-24 19:17:00
Hà Giang,Thị trấn Cốc Pài,3.0,2026-01-24 19:17:00
Hà Giang,Tiên Nguyên,2.2,2026-01-24 19:17:00
Hà Giang,Tiên Nguyên 1,0.0,2026-01-24 19:17:00
Hà Giang,Tiên Nguyên 2,0.0,2026-01-24 19:17:00
Hà Giang,Trung Thành,0.0,2026-01-24 19:17:00
Hà Giang,Tân Lập 1,0.0,2026-01-24 19:17:00
Hà Giang,Tân Lập 2,0.0,2026-01-24 19:17:00
Hà Giang,Tân Nam 1,0.0,2026-01-24 19:17:00
Hà Giang,Tân Nam 2,4.0,2026-01-24 19:17:00
Hà Giang,Tân Tiến,0.0,2026-01-24 19:17:00
Hà Giang,Tân Trịnh,0.0,2026-01-24 19:17:00
Hà Giang,Tùng Bá 1,0.0,2026-01-24 19:17:00
Hà Giang,Tùng Bá 2,0.0,2026-01-24 19:17:00
Hà Giang,Túng Sán,0.0,2026-01-24 19:17:00
Hà Giang,Việt Lâm,0.0,2026-01-24 19:17:00
Hà Giang,Việt Vinh,3.2,2026-01-24 19:17:00
Hà Giang,Vĩ Thượng,0.2,2026-01-24 19:17:00
Hà Giang,Vĩnh Phúc,2.6,2026-01-24 19:17:00
Hà Giang,Xuân Giang 1,0.0,2026-01-24 19:17:00
Hà Giang,Xuân Minh 1,0.0,2026-01-24 19:17:00
Hà Giang,Xuân Minh 2,0.0,2026-01-24 19:17:00
Hà Giang,Xín Chải,0.0,2026-01-24 19:17:00
Hà Giang,Yên Bình,0.0,2026-01-24 19:17:00
Hà Giang,Yên Cường,1.2,2026-01-24 19:17:00
Hà Giang,Yên Minh 1,0.0,2026-01-24 19:17:00
Hà Giang,Yên Phong,1.2,2026-01-24 19:17:00
Hà Giang,Yên Phú,0.4,2026-01-24 19:17:00
Hà Giang,Yên Định,0.0,2026-01-24 19:17:00
Hà Giang,phường Nguyễn Trãi,0.0,2026-01-24 19:17:00
Hà Giang,thị trấn Mèo Vạc,0.0,2026-01-24 19:17:00
Hà Giang,thị trấn NT Việt Lâm,0.0,2026-01-24 19:17:00
Hà Giang,thị trấn Tam Sơn,0.0,2026-01-24 19:17:00
Hà Giang,thị trấn Yên Bình,0.0,2026-01-24 19:17:00
Hà Giang,thị trấn Yên Minh,0.0,2026-01-24 19:17:00
Hà Giang,thị trấn Yên Phú,0.0,2026-01-24 19:17:00
Hà Giang,xã Bạch Ngọc,0.0,2026-01-24 19:17:00
Hà Giang,xã Bản Díu,0.0,2026-01-24 19:17:00
Hà Giang,xã Bản Ngò,0.0,2026-01-24 19:17:00
Hà Giang,xã Bản Nhùng,0.0,2026-01-24 19:17:00
Hà Giang,xã Bản Phùng,0.0,2026-01-24 19:17:00
Hà Giang,xã Bản Rịa,0.0,2026-01-24 19:17:00
Hà Giang,xã Cao Bồ,0.0,2026-01-24 19:17:00
Hà Giang,xã Chiến Phố,0.0,2026-01-24 19:17:00
Hà Giang,xã Chế Là,0.0,2026-01-24 19:17:00
Hà Giang,xã Cốc Rế,0.0,2026-01-24 19:17:00
Hà Giang,xã Du Già,0.0,2026-01-24 19:17:00
Hà Giang,xã Giáp Trung,0.0,2026-01-24 19:17:00
Hà Giang,xã Hồ Thầu,0.0,2026-01-24 19:17:00
Hà Giang,xã Lao Chải,0.0,2026-01-24 19:17:00
Hà Giang,xã Linh Hồ,0.0,2026-01-24 19:17:00
Hà Giang,xã Lũng Hồ,0.0,2026-01-24 19:17:00
Hà Giang,xã Lạc Nông,0.0,2026-01-24 19:17:00
Hà Giang,xã Minh Ngọc,0.0,2026-01-24 19:17:00
Hà Giang,xã Minh Sơn,0.0,2026-01-24 19:17:00
Hà Giang,xã Mậu Long,0.0,2026-01-24 19:17:00
Hà Giang,xã Ngam La,0.0,2026-01-24 19:17:00
Hà Giang,xã Ngọc Long,0.0,2026-01-24 19:17:00
Hà Giang,xã Nà Chì,0.0,2026-01-24 19:17:00
Hà Giang,xã Nàng Đôn,0.0,2026-01-24 19:17:00
Hà Giang,xã Nấm Dẩn,0.0,2026-01-24 19:17:00
Hà Giang,xã Nậm Ban,0.0,2026-01-24 19:17:00
Hà Giang,xã Nậm Dịch,0.0,2026-01-24 19:17:00
Hà Giang,xã Nậm Khòa,0.0,2026-01-24 19:17:00
Hà Giang,xã Nậm Ty,0.0,2026-01-24 19:17:00
Hà Giang,xã Phú Nam,0.0,2026-01-24 19:17:00
Hà Giang,xã Phương Độ,0.0,2026-01-24 19:17:00
Hà Giang,xã Quyết Tiến,0.0,2026-01-24 19:17:00
Hà Giang,xã Quảng Nguyên,0.0,2026-01-24 19:17:00
Hà Giang,xã Quảng Ngần,0.0,2026-01-24 19:17:00
Hà Giang,xã Thanh Thủy,0.0,2026-01-24 19:17:00
Hà Giang,xã Thanh Đức,0.0,2026-01-24 19:17:00
Hà Giang,xã Thu Tà,0.0,2026-01-24 19:17:00
Hà Giang,xã Thuận Hòa,0.0,2026-01-24 19:17:00
Hà Giang,xã Thàng Tín,0.0,2026-01-24 19:17:00
Hà Giang,xã Thái An,0.0,2026-01-24 19:17:00
Hà Giang,xã Thông Nguyên,0.0,2026-01-24 19:17:00
Hà Giang,xã Thượng Sơn,0.0,2026-01-24 19:17:00
Hà Giang,xã Tiên Nguyên,0.0,2026-01-24 19:17:00
Hà Giang,xã Trung Thành,0.0,2026-01-24 19:17:00
Hà Giang,xã Tân Lập,0.0,2026-01-24 19:17:00
Hà Giang,xã Tân Nam,0.0,2026-01-24 19:17:00
Hà Giang,xã Tân Tiến,0.0,2026-01-24 19:17:00
Hà Giang,xã Tân Trịnh,0.0,2026-01-24 19:17:00
Hà Giang,xã Tùng Bá,0.0,2026-01-24 19:17:00
Hà Giang,xã Túng Sán,0.0,2026-01-24 19:17:00
Hà Giang,xã Việt Vinh,0.0,2026-01-24 19:17:00
Hà Giang,xã Vĩ Thượng,0.0,2026-01-24 19:17:00
Hà Giang,xã Vĩnh Phúc,0.0,2026-01-24 19:17:00
Hà Giang,xã Xuân Giang,0.0,2026-01-24 19:17:00
Hà Giang,xã Xuân Minh,0.0,2026-01-24 19:17:00
Hà Giang,xã Xín Chải,0.0,2026-01-24 19:17:00
Hà Giang,xã Yên Cường,0.0,2026-01-24 19:17:00
Hà Giang,xã Yên Phong,0.0,2026-01-24 19:17:00
Hà Giang,xã Yên Định,0.0,2026-01-24 19:17:00
Hà Giang,xã Đông Hà,0.0,2026-01-24 19:17:00
Hà Giang,xã Đồng Tâm,0.0,2026-01-24 19:17:00
Hà Giang,Đông Hà 1,0.0,2026-01-24 19:17:00
Hà Giang,Đông Hà 2,0.0,2026-01-24 19:17:00
Hà Giang,Đồng Tâm,6.4,2026-01-24 19:17:00
Cao Bằng,Cách Linh,0.8,2026-01-24 19:17:00
Cao Bằng,Cô Ba,0.0,2026-01-24 19:17:00
Cao Bằng,Cần Yên,0.2,2026-01-24 19:17:00
Cao Bằng,Cốc Pàng,0.0,2026-01-24 19:17:00
Cao Bằng,Hạ Lang,0.4,2026-01-24 19:17:00
Cao Bằng,Kim Loan,0.2,2026-01-24 19:17:00
Cao Bằng,Minh Long,0.2,2026-01-24 19:17:00
Cao Bằng,Minh Thanh,0.0,2026-01-24 19:17:00
Cao Bằng,Nà Ràng,0.2,2026-01-24 19:17:00
Cao Bằng,Năm Làng,0.2,2026-01-24 19:17:00
Cao Bằng,Phi Hải,0.2,2026-01-24 19:17:00
Cao Bằng,Quang Vinh,0.2,2026-01-24 19:17:00
Cao Bằng,Quảng Uyên,0.4,2026-01-24 19:17:00
Cao Bằng,Sơn Lộ,0.0,2026-01-24 19:17:00
Cao Bằng,Tam Kim,0.0,2026-01-24 19:17:00
Cao Bằng,Thành Công,0.6,2026-01-24 19:17:00
Cao Bằng,Thái Học,0.0,2026-01-24 19:17:00
Cao Bằng,Thông Nông,0.0,2026-01-24 19:17:00
Cao Bằng,Thạch An,0.6,2026-01-24 19:17:00
Cao Bằng,Thạch Lâm,0.0,2026-01-24 19:17:00
Cao Bằng,Tri Phương,0.4,2026-01-24 19:17:00
Cao Bằng,Trà Lĩnh,0.4,2026-01-24 19:17:00
Cao Bằng,Trương Lương,0.0,2026-01-24 19:17:00
Cao Bằng,Tà Sa,0.6,2026-01-24 19:17:00
Cao Bằng,Tĩnh Túc,0.6,2026-01-24 19:17:00
Cao Bằng,Yên Thổ,0.4,2026-01-24 19:17:00
Cao Bằng,xã Bế Văn Đàn,0.0,2026-01-24 19:17:00
Cao Bằng,xã Canh Tân,0.0,2026-01-24 19:17:00
Cao Bằng,xã Cô Ba,0.0,2026-01-24 19:17:00
Cao Bằng,xã Cần Yên,0.0,2026-01-24 19:17:00
Cao Bằng,xã Cốc Pàng,0.0,2026-01-24 19:17:00
Cao Bằng,xã Hà Quảng,0.0,2026-01-24 19:17:00
Cao Bằng,xã Hạ Lang,0.0,2026-01-24 19:17:00
Cao Bằng,xã Kim Đồng,0.0,2026-01-24 19:17:00
Cao Bằng,xã Lý Quốc,0.0,2026-01-24 19:17:00
Cao Bằng,xã Minh Tâm,0.0,2026-01-24 19:17:00
Cao Bằng,xã Nguyên Bình,0.0,2026-01-24 19:17:00
Cao Bằng,xã Nguyễn Huệ,0.0,2026-01-24 19:17:00
Cao Bằng,xã Quang Hán,0.0,2026-01-24 19:17:00
Cao Bằng,xã Quang Trung,0.0,2026-01-24 19:17:00
Cao Bằng,xã Quảng Lâm,0.0,2026-01-24 19:17:00
Cao Bằng,xã Quảng Uyên,0.0,2026-01-24 19:17:00
Cao Bằng,xã Sơn Lộ,0.0,2026-01-24 19:17:00
Cao Bằng,xã Tam Kim,0.0,2026-01-24 19:17:00
Cao Bằng,xã Thành Công,0.0,2026-01-24 19:17:00
Cao Bằng,xã Thông Nông,0.0,2026-01-24 19:17:00
Cao Bằng,xã Trà Lĩnh,0.0,2026-01-24 19:17:00
Cao Bằng,xã Tĩnh Túc,0.0,2026-01-24 19:17:00
Cao Bằng,xã Vinh Quý,0.0,2026-01-24 19:17:00
Cao Bằng,xã Yên Thổ,0.0,2026-01-24 19:17:00
Cao Bằng,xã Đàm Thủy,0.0,2026-01-24 19:17:00
Cao Bằng,xã Đông Khê,0.0,2026-01-24 19:17:00
Cao Bằng,xã Đức Long,0.0,2026-01-24 19:17:00
Cao Bằng,Án Lại,0.0,2026-01-24 19:17:00
Cao Bằng,Đàm Thủy,0.0,2026-01-24 19:17:00
Cao Bằng,Đức Long,0.8,2026-01-24 19:17:00
Cao Bằng,Đức Thông,0.4,2026-01-24 19:17:00
Bắc Kạn,Bành Trạch 1,2.2,2026-01-24 19:17:00
Bắc Kạn,Bành Trạch 2,9.2,2026-01-24 19:17:00
Bắc Kạn,Bình Trung,7.4,2026-01-24 19:17:00
Bắc Kạn,Bình Văn,8.0,2026-01-24 19:17:00
Bắc Kạn,Bản Thi,16.8,2026-01-24 19:17:00
Bắc Kạn,Bằng Lãng,5.6,2026-01-24 19:17:00
Bắc Kạn,Bằng Lũng,7.0,2026-01-24 19:17:00
Bắc Kạn,Bằng Thành,23.2,2026-01-24 19:17:00
Bắc Kạn,Bằng Vân,10.8,2026-01-24 19:17:00
Bắc Kạn,Bộc Bố,24.8,2026-01-24 19:17:00
Bắc Kạn,Bộc Bố 1,16.2,2026-01-24 19:17:00
Bắc Kạn,Bộc Bố 2,28.6,2026-01-24 19:17:00
Bắc Kạn,Cao Thượng,13.0,2026-01-24 19:17:00
Bắc Kạn,Cao Tân,18.4,2026-01-24 19:17:00
Bắc Kạn,Chi cục thủy lợi,17.0,2026-01-24 19:17:00
Bắc Kạn,Côn Minh,18.0,2026-01-24 19:17:00
Bắc Kạn,Công Bằng,17.0,2026-01-24 19:17:00
Bắc Kạn,Cẩm Giàng,1.6,2026-01-24 19:17:00
Bắc Kạn,Cốc Đán,16.2,2026-01-24 19:17:00
Bắc Kạn,Cổ Linh,11.2,2026-01-24 19:17:00
Bắc Kạn,Dương Phong 1,4.4,2026-01-24 19:17:00
Bắc Kạn,Dương Phong 2,6.2,2026-01-24 19:17:00
Bắc Kạn,Dương Quang,9.4,2026-01-24 19:17:00
Bắc Kạn,Giáo Hiệu,13.0,2026-01-24 19:17:00
Bắc Kạn,Hiệp Lực,2.2,2026-01-24 19:17:00
Bắc Kạn,Hòa Mục,5.4,2026-01-24 19:17:00
Bắc Kạn,Hảo Nghĩa,25.0,2026-01-24 19:17:00
Bắc Kạn,Khang Ninh,24.8,2026-01-24 19:17:00
Bắc Kạn,Kim Hỷ,8.8,2026-01-24 19:17:00
Bắc Kạn,Lương Bằng,8.8,2026-01-24 19:17:00
Bắc Kạn,Lương Thượng,10.8,2026-01-24 19:17:00
Bắc Kạn,Lục Bình,0.8,2026-01-24 19:17:00
Bắc Kạn,Mỹ Thanh,4.0,2026-01-24 19:17:00
Bắc Kạn,Nam Cường,15.0,2026-01-24 19:17:00
Bắc Kạn,Nghiên Loan 2,9.2,2026-01-24 19:17:00
Bắc Kạn,Ngọc Phái,4.4,2026-01-24 19:17:00
Bắc Kạn,Nhạn Môn,7.4,2026-01-24 19:17:00
Bắc Kạn,Nà Phặc,13.2,2026-01-24 19:17:00
Bắc Kạn,Nông Thịnh,10.6,2026-01-24 19:17:00
Bắc Kạn,Phúc Lộc,3.4,2026-01-24 19:17:00
Bắc Kạn,Phương Viên,3.0,2026-01-24 19:17:00
Bắc Kạn,Phủ Thông,1.6,2026-01-24 19:17:00
Bắc Kạn,Quảng Bạch,9.6,2026-01-24 19:17:00
Bắc Kạn,Quảng Khê,11.8,2026-01-24 19:17:00
Bắc Kạn,Thanh Mai,10.6,2026-01-24 19:17:00
Bắc Kạn,Thanh Thịnh,16.0,2026-01-24 19:17:00
Bắc Kạn,Thượng Quan,7.0,2026-01-24 19:17:00
Bắc Kạn,Tân Lập,2.4,2026-01-24 19:17:00
Bắc Kạn,Tân Sơn,11.6,2026-01-24 19:17:00
Bắc Kạn,Vũ Loan,5.0,2026-01-24 19:17:00
Bắc Kạn,Vũ Loan 1,4.2,2026-01-24 19:17:00
Bắc Kạn,Vũ Loan 2,6.0,2026-01-24 19:17:00
Bắc Kạn,Vũ Muộn,4.0,2026-01-24 19:17:00
Bắc Kạn,Xuân La,16.8,2026-01-24 19:17:00
Bắc Kạn,Xuân Lạc,15.2,2026-01-24 19:17:00
Bắc Kạn,Yên Hân,9.6,2026-01-24 19:17:00
Bắc Kạn,Yên Lạc,18.8,2026-01-24 19:17:00
Bắc Kạn,Yên Phong,9.2,2026-01-24 19:17:00
Bắc Kạn,Yên Thượng,0.0,2026-01-24 19:17:00
Bắc Kạn,Yên Thịnh,16.6,2026-01-24 19:17:00
Bắc Kạn,Yến Dương,23.0,2026-01-24 19:17:00
Bắc Kạn,thị trấn Bằng Lũng,0.0,2026-01-24 19:17:00
Bắc Kạn,thị trấn Nà Phặc,0.0,2026-01-24 19:17:00
Bắc Kạn,thị trấn Phủ Thông,0.0,2026-01-24 19:17:00
Bắc Kạn,thị trấn Yến Lạc,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Bành Trạch,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Bình Trung,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Bình Văn,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Bản Thi,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Bằng Lãng,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Bằng Thành,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Bằng Vân,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Bộc Bố,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Cao Thượng,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Cao Tân,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Côn Minh,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Công Bằng,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Cẩm Giàng,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Cốc Đán,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Cổ Linh,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Dương Phong,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Dương Quang,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Giáo Hiệu,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Hiệp Lực,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Hòa Mục,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Khang Ninh,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Kim Hỷ,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Lương Bằng,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Lương Thượng,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Lục Bình,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Mỹ Thanh,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Nam Cường,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Nghiên Loan,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Ngọc Phái,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Nhạn Môn,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Nông Thịnh,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Phúc Lộc,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Phương Viên,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Quảng Bạch,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Quảng Khê,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Thanh Mai,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Thanh Thịnh,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Thượng Quan,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Trần Phú,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Tân Lập,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Tân Sơn,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Văn Vũ,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Vũ Loan,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Vũ Muộn,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Xuân La,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Xuân Lạc,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Yên Hân,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Yên Phong,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Yên Thượng,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Yến Dương,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Đôn Phong,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Đông Viên,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Đồng Lạc,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Đổng Xá,0.0,2026-01-24 19:17:00
Bắc Kạn,xã Đức Vân,0.0,2026-01-24 19:17:00
Bắc Kạn,Đôn Phong 2,2.6,2026-01-24 19:17:00
Bắc Kạn,Đôn Phong 3,8.4,2026-01-24 19:17:00
Bắc Kạn,Đông Viên,9.6,2026-01-24 19:17:00
Bắc Kạn,Đồng Lạc,11.6,2026-01-24 19:17:00
Bắc Kạn,Đồng Lạc 1,19.4,2026-01-24 19:17:00
Bắc Kạn,Đồng Lạc 2,11.6,2026-01-24 19:17:00
Bắc Kạn,Đổng Xá,20.0,2026-01-24 19:17:00
Bắc Kạn,Đức Vân,10.8,2026-01-24 19:17:00
Tuyên Quang,Bình An,0.2,2026-01-24 19:18:00
Tuyên Quang,Bình Phú,0.0,2026-01-24 19:18:00
Tuyên Quang,Bạch Ngọc 1,0.0,2026-01-24 19:18:00
Tuyên Quang,Bạch Ngọc 2,0.0,2026-01-24 19:18:00
Tuyên Quang,Bản Díu,0.0,2026-01-24 19:18:00
Tuyên Quang,Bản Díu PCTT,0.0,2026-01-24 19:18:00
Tuyên Quang,Bản Ngò,0.0,2026-01-24 19:18:00
Tuyên Quang,Bản Ngò PCTT,0.0,2026-01-24 19:18:00
Tuyên Quang,Bản Ngần,0.0,2026-01-24 19:18:00
Tuyên Quang,Bản Nhùng,0.0,2026-01-24 19:18:00
Tuyên Quang,Bản Phùng,0.2,2026-01-24 19:18:00
Tuyên Quang,Bản Péo,0.0,2026-01-24 19:18:00
Tuyên Quang,Bản Rịa,0.0,2026-01-24 19:18:00
Tuyên Quang,Bằng Cốc,0.2,2026-01-24 19:18:00
Tuyên Quang,Cao Bồ,0.6,2026-01-24 19:18:00
Tuyên Quang,Cao Bồ 1,0.0,2026-01-24 19:18:00
Tuyên Quang,Cao Bồ 2,0.8,2026-01-24 19:18:00
Tuyên Quang,Chi Thiết,1.2,2026-01-24 19:18:00
Tuyên Quang,Chi cục thủy lợi,0.0,2026-01-24 19:18:00
Tuyên Quang,Chiến Phố,0.6,2026-01-24 19:18:00
Tuyên Quang,Chế Là,0.0,2026-01-24 19:18:00
Tuyên Quang,Chế Là PCTT,0.4,2026-01-24 19:18:00
Tuyên Quang,Cốc Rế,0.0,2026-01-24 19:18:00
Tuyên Quang,Du Già,0.0,2026-01-24 19:18:00
