Mã trạm,Tên trạm,Tỉnh/Thành phố,Huyện,Vĩ độ,Kinh độ,Dấu thời gian,Nguồn dữ liệu,Chất lượng dữ liệu,Thời gian cập nhật,Nhiệt độ hiện tại,Nhiệt độ tối đa,Nhiệt độ tối thiểu,Nhiệt độ trung bình,Độ ẩm hiện tại,Độ ẩm tối đa,Độ ẩm tối thiểu,Độ ẩm trung bình,Áp suất hiện tại,Áp suất tối đa,Áp suất tối thiểu,Áp suất trung bình,Tốc độ gió hiện tại,Tốc độ gió tối đa,Tốc độ gió tối thiểu,Tốc độ gió trung bình,Hướng gió hiện tại,Hướng gió trung bình,Lượng mưa hiện tại,Lượng mưa tối đa,Lượng mưa tối thiểu,Lượng mưa trung bình,Tổng lượng mưa,Độ che phủ mây hiện tại,Độ che phủ mây tối đa,Độ che phủ mây tổi thiểu,Độ che phủ mây trung bình,Tầm nhìn hiện tại,Tầm nhìn đa,Tầm nhìn tối thiểu,Tầm nhìn trung bình,Xác xuất sấm sét
SL_ML,Huyện Mộc Châu - Sơn La,Sơn La,Mộc Châu,20.85,104.6333,2026-01-24 19:14:24,openmeteo,medium,2026-01-24 19:00:00,13.6,24.9,9.4,16.6,91,100,47,82.1,1018.5,1024.5,1014.2,1018.8,5.5,11.3,1.0,5.5,113,128.2,0,0.0,0,0.0,0.0,30,95,25,68,7,16,4,10,27
SL_YB,Huyện Yên Châu - Sơn La,Sơn La,Yên Châu,21.05,104.3,2026-01-24 19:14:26,openmeteo,medium,2026-01-24 19:00:00,17.2,29.4,14.0,20.6,87,99,43,77.8,1018.0,1023.6,1013.2,1018.1,3.4,9.5,1.5,5.5,108,106.4,0,0.0,0,0.0,0.0,53,90,17,51,14,19,6,10,5
LC_LC,Thành phố Lai Châu - Lai Châu,Lai Châu,Lai Châu,22.4,103.45,2026-01-24 19:14:28,openmeteo,medium,2026-01-24 19:00:00,16.1,25.8,11.8,18.2,88,97,50,76.4,1017.1,1021.9,1013.4,1017.4,3.1,8.8,1.8,5.5,144,139.1,0,0.0,0,0.0,0.0,46,60,22,56,15,12,3,10,7
LC_TN,Huyện Tam Đường - Lai Châu,Lai Châu,Tam Đường,22.3667,103.6167,2026-01-24 19:14:30,openmeteo,medium,2026-01-24 19:00:00,10.1,19.5,6.2,12.1,90,100,47,77.6,1017.4,1022.1,1013.8,1017.7,5.9,10.4,3.4,6.9,137,136.3,0,0.0,0,0.0,0.0,28,92,30,40,9,19,2,6,9
LC_PT,Huyện Phong Thổ - Lai Châu,Lai Châu,Phong Thổ,22.5333,103.3333,2026-01-24 19:14:33,openmeteo,medium,2026-01-24 19:00:00,15.4,26.1,10.4,17.0,84,99,43,80.9,1016.8,1021.6,1012.6,1017.1,5.8,9.3,0.5,4.7,176,175.1,0,0.1,0,0.0,0.1,21,86,39,37,13,14,4,9,30
HB_HB,Thành phố Hòa Bình - Hòa Bình,Hòa Bình,Hòa Bình,20.8133,105.3383,2026-01-24 19:14:35,openmeteo,medium,2026-01-24 19:00:00,12.7,24.0,10.3,17.5,95,100,64,88.7,1019.9,1025.6,1015.4,1019.2,3.3,10.9,0.0,3.9,84,119.9,0,0.1,0,0.0,0.2,65,67,16,31,13,14,4,7,27
HB_ML,Huyện Mai Châu - Hòa Bình,Hòa Bình,Mai Châu,20.6667,105.0833,2026-01-24 19:14:37,openmeteo,medium,2026-01-24 19:00:00,17.2,26.9,13.8,20.6,90,100,58,85.2,1019.2,1025.2,1015.1,1019.0,4.6,8.7,0.7,4.5,141,136.5,0,0.0,0,0.0,0.0,78,82,31,43,14,19,2,11,27
HB_KB,Huyện Kim Bôi - Hòa Bình,Hòa Bình,Kim Bôi,20.6667,105.5333,2026-01-24 19:14:40,openmeteo,medium,2026-01-24 19:00:00,13.6,24.0,10.5,17.8,97,100,64,87.7,1019.9,1025.5,1015.6,1019.3,3.7,10.6,0.5,5.0,119,147.0,0,0.0,0,0.0,0.0,80,63,15,33,8,19,4,8,9
LS_LS,Thành phố Lạng Sơn - Lạng Sơn,Lạng Sơn,Lạng Sơn,21.8478,106.7578,2026-01-24 19:14:42,openmeteo,medium,2026-01-24 19:00:00,10.8,22.4,7.7,15.9,90,100,60,87.1,1020.6,1026.9,1016.3,1019.9,2.2,15.1,0.4,4.5,360,98.2,0,0.2,0,0.0,1.2,50,74,26,46,13,13,2,11,25
LS_CL,Huyện Cao Lộc - Lạng Sơn,Lạng Sơn,Cao Lộc,21.9,106.8,2026-01-24 19:14:44,openmeteo,medium,2026-01-24 19:00:00,10.7,22.3,7.6,15.8,90,100,60,87.1,1020.6,1026.9,1016.3,1019.9,2.2,15.1,0.4,4.5,360,98.2,0,0.2,0,0.0,1.2,69,73,35,68,6,11,4,7,11
