Tỉnh/Thành phố,Tên trạm,Tổng lượng mưa,Thời gian cập nhập
Đắk Nông,"Kiến Đức, Đắk R'lấp",0.0,2026-01-24 19:19:00
Đắk Nông,"Long Sơn, Đăk Mil",0.0,2026-01-24 19:19:00
Đắk Nông,"Nam Dong, Cư Jút",0.0,2026-01-24 19:19:00
Đắk Nông,"Nam Xuân, Krông Nô",0.0,2026-01-24 19:19:00
Đắk Nông,"Nghĩa Thắng, Đăk R'lấp",0.0,2026-01-24 19:19:00
Đắk Nông,"Nghĩa Trung, Gia Nghĩa",0.0,2026-01-24 19:19:00
Đắk Nông,"Nhân Cơ, Đăk R'lấp",0.0,2026-01-24 19:19:00
Đắk Nông,"Nâm N'Đir, Krông Nô",0.0,2026-01-24 19:19:00
Đắk Nông,Nâm Nung,0.0,2026-01-24 19:19:00
Đắk Nông,"Nâm N’Jang, Đắk Song",0.0,2026-01-24 19:19:00
Đắk Nông,"Quảng Hòa, Đắk G'Long",0.0,2026-01-24 19:19:00
Đắk Nông,Quảng Khê,0.2,2026-01-24 19:19:00
Đắk Nông,"Quảng Thành, Gia Nghĩa",0.0,2026-01-24 19:19:00
Đắk Nông,"Quảng Tâm, Tuy Đức",0.0,2026-01-24 19:19:00
Đắk Nông,"Quảng Tín, Đăk R'lấp",0.0,2026-01-24 19:19:00
Đắk Nông,"Thuận Hà, Đắk Song",0.0,2026-01-24 19:19:00
Đắk Nông,"Trúc Sơn, Cư Jút",0.0,2026-01-24 19:19:00
Đắk Nông,"Tân Thành, Krông Nô",0.0,2026-01-24 19:19:00
Đắk Nông,phường Nghĩa Trung,0.0,2026-01-24 19:19:00
Đắk Nông,phường Quảng Thành,0.0,2026-01-24 19:19:00
Đắk Nông,thị trấn Ea T'ling,0.0,2026-01-24 19:19:00
Đắk Nông,thị trấn Đức An,0.0,2026-01-24 19:19:00
Đắk Nông,xã Buôn Choah,0.0,2026-01-24 19:19:00
Đắk Nông,xã Hưng Bình,0.0,2026-01-24 19:19:00
Đắk Nông,xã Kiến Thành,0.0,2026-01-24 19:19:00
Đắk Nông,xã Kiến Đức,0.0,2026-01-24 19:19:00
Đắk Nông,xã Long Sơn,0.0,2026-01-24 19:19:00
Đắk Nông,xã Nam Dong,0.0,2026-01-24 19:19:00
Đắk Nông,xã Nam Xuân,0.0,2026-01-24 19:19:00
Đắk Nông,xã Nghĩa Thắng,0.0,2026-01-24 19:19:00
Đắk Nông,xã Nhân Cơ,0.0,2026-01-24 19:19:00
Đắk Nông,xã Nâm N'Jang,0.0,2026-01-24 19:19:00
Đắk Nông,xã Nâm N'Đir,0.0,2026-01-24 19:19:00
Đắk Nông,xã Nâm Nung,0.0,2026-01-24 19:19:00
Đắk Nông,xã Quảng Hòa,0.0,2026-01-24 19:19:00
Đắk Nông,xã Quảng Khê,0.0,2026-01-24 19:19:00
Đắk Nông,xã Quảng Tâm,0.0,2026-01-24 19:19:00
Đắk Nông,xã Quảng Tín,0.0,2026-01-24 19:19:00
Đắk Nông,xã Thuận Hà,0.0,2026-01-24 19:19:00
Đắk Nông,xã Trúc Sơn,0.0,2026-01-24 19:19:00
Đắk Nông,xã Tân Thành,0.0,2026-01-24 19:19:00
Đắk Nông,xã Đăk Buk So,0.0,2026-01-24 19:19:00
Đắk Nông,xã Đăk Drông,0.0,2026-01-24 19:19:00
Đắk Nông,xã Đăk Ha,0.0,2026-01-24 19:19:00
Đắk Nông,xã Đăk Hòa,0.0,2026-01-24 19:19:00
Đắk Nông,xã Đăk Mool,0.0,2026-01-24 19:19:00
Đắk Nông,xã Đăk Mâm,0.0,2026-01-24 19:19:00
Đắk Nông,xã Đăk N'Drot,0.0,2026-01-24 19:19:00
Đắk Nông,xã Đăk N'Drung,0.0,2026-01-24 19:19:00
Đắk Nông,xã Đăk Ngo,0.0,2026-01-24 19:19:00
Đắk Nông,xã Đăk R'La,0.0,2026-01-24 19:19:00
Đắk Nông,xã Đăk R'Moan,0.0,2026-01-24 19:19:00
Đắk Nông,xã Đăk Ru,0.0,2026-01-24 19:19:00
Đắk Nông,xã Đăk Sin,0.0,2026-01-24 19:19:00
Đắk Nông,xã Đăk Săk,0.0,2026-01-24 19:19:00
Đắk Nông,xã Đăk Wer,0.0,2026-01-24 19:19:00
Đắk Nông,xã Đạo Nghĩa,0.0,2026-01-24 19:19:00
Đắk Nông,xã Đắk Gằn,0.0,2026-01-24 19:19:00
Đắk Nông,xã Đắk Lao,0.0,2026-01-24 19:19:00
Đắk Nông,xã Đắk Som,0.0,2026-01-24 19:19:00
Đắk Nông,xã Đắk Sôr,0.0,2026-01-24 19:19:00
Đắk Nông,xã Đức Mạnh,0.0,2026-01-24 19:19:00
Đắk Nông,xã Đức Xuyên,0.0,2026-01-24 19:19:00
Đắk Nông,"Đăk Buk So, Tuy Đức",0.0,2026-01-24 19:19:00
Đắk Nông,"Đăk Drông, Cư Jút",0.0,2026-01-24 19:19:00
Đắk Nông,"Đăk Ha, Đăk G'Long",3.4,2026-01-24 19:19:00
Đắk Nông,"Đăk Hòa, Đắk Song",0.0,2026-01-24 19:19:00
Đắk Nông,"Đăk Mool, Đắk Song",0.0,2026-01-24 19:19:00
Đắk Nông,"Đăk Mâm, Krông Nô",0.0,2026-01-24 19:19:00
Đắk Nông,"Đăk N'Drot, Đăk Mil",0.0,2026-01-24 19:19:00
Đắk Nông,"Đăk N'Drung, Đắk Song",0.0,2026-01-24 19:19:00
Đắk Nông,"Đăk Ngo, Tuy Đức",0.4,2026-01-24 19:19:00
Đắk Nông,"Đăk R'La, Đăk Mil",0.0,2026-01-24 19:19:00
Đắk Nông,"Đăk R'Moan, Gia Nghĩa",0.0,2026-01-24 19:19:00
Đắk Nông,"Đăk Ru, Đăk R'lấp",0.0,2026-01-24 19:19:00
Đắk Nông,Đăk Sin,0.0,2026-01-24 19:19:00
Đắk Nông,"Đăk Săk, Đăk Mil",0.0,2026-01-24 19:19:00
Đắk Nông,"Đăk Wer, Đăk R'lấp",0.0,2026-01-24 19:19:00
Đắk Nông,Đạo Nghĩa,0.0,2026-01-24 19:19:00
Đắk Nông,Đạo Nghĩa 2,0.0,2026-01-24 19:19:00
Đắk Nông,Đắk Buk So,0.0,2026-01-24 19:19:00
Đắk Nông,Đắk Gằn 2,0.0,2026-01-24 19:19:00
Đắk Nông,Đắk Gằn 3,0.0,2026-01-24 19:19:00
Đắk Nông,"Đắk Gằn, Đăk Mil",0.0,2026-01-24 19:19:00
Đắk Nông,Đắk Lao 1,0.0,2026-01-24 19:19:00
Đắk Nông,Đắk Lao 2,0.0,2026-01-24 19:19:00
Đắk Nông,"Đắk Som, Đăk G'Long",0.0,2026-01-24 19:19:00
Đắk Nông,"Đắk Sôr, Krông Nô",0.0,2026-01-24 19:19:00
Đắk Nông,"Đức An, Đắk Song",0.0,2026-01-24 19:19:00
Đắk Nông,Đức Mạnh 2,0.0,2026-01-24 19:19:00
Đắk Nông,"Đức Xuyên, Krông Nô",0.0,2026-01-24 19:19:00
Lâm Đồng,An Nhơn - Đạ Tẻh,0.0,2026-01-24 19:19:00
Lâm Đồng,B'Lá,0.0,2026-01-24 19:19:00
Lâm Đồng,B'Lá - Bảo Lâm,0.0,2026-01-24 19:19:00
Lâm Đồng,"Buôn Choah, Krông Nô",0.0,2026-01-24 19:19:00
Lâm Đồng,Bảo Lộc,0.0,2026-01-24 19:19:00
Lâm Đồng,Bảo Thuận - Di Linh,0.0,2026-01-24 19:19:00
Lâm Đồng,Bảo Thuận 2,0.0,2026-01-24 19:19:00
Lâm Đồng,Bắc Ruộng,0.0,2026-01-24 19:19:00
Lâm Đồng,D'Ran - Đơn Dương,0.0,2026-01-24 19:19:00
Lâm Đồng,Di Linh,0.0,2026-01-24 19:19:00
Lâm Đồng,Dân Hiệp,0.0,2026-01-24 19:19:00
Lâm Đồng,"Ea T'ling, Cư Jút",0.0,2026-01-24 19:19:00
Lâm Đồng,Gia An,0.0,2026-01-24 19:19:00
Lâm Đồng,Gia Hiệp,0.0,2026-01-24 19:19:00
Lâm Đồng,Gia Viễn - Cát Tiên,0.0,2026-01-24 19:19:00
Lâm Đồng,Gung Ré,0.0,2026-01-24 19:19:00
Lâm Đồng,Hoài Đức - Lâm Hà,0.0,2026-01-24 19:19:00
Lâm Đồng,Hàm Cần,0.0,2026-01-24 19:19:00
Lâm Đồng,Hàm Tiến,0.0,2026-01-24 19:19:00
Lâm Đồng,Hòa Bắc,0.0,2026-01-24 19:19:00
Lâm Đồng,Hòa Bắc - Di Linh,0.0,2026-01-24 19:19:00
Lâm Đồng,"Hưng Bình, Đăk R'lấp",0.0,2026-01-24 19:19:00
Lâm Đồng,Hương Lâm - Đạ Tẻh,0.0,2026-01-24 19:19:00
Lâm Đồng,Hồ Sông Phan,0.0,2026-01-24 19:19:00
Lâm Đồng,Hồ Thôn 4 Lộc Bắc,0.0,2026-01-24 19:19:00
Lâm Đồng,Hồ Trà Tân,0.0,2026-01-24 19:19:00
Lâm Đồng,Hồ Tuyền Lâm - LS,0.0,2026-01-24 19:19:00
Lâm Đồng,Hồ Xuân Hương-LS,0.0,2026-01-24 19:19:00
Lâm Đồng,Hồ Đa Glé,0.0,2026-01-24 19:19:00
Lâm Đồng,Hồng Phong,0.0,2026-01-24 19:19:00
Lâm Đồng,Ka Đô - Đơn Dương,0.0,2026-01-24 19:19:00
Lâm Đồng,"Khu bảo tồn Nâm Nung, Nâm N’Jang",0.0,2026-01-24 19:19:00
Lâm Đồng,Khu du lịch cáp treo Đà Lạt,0.0,2026-01-24 19:19:00
Lâm Đồng,"Kiến Thành, Đăk R'lấp",0.0,2026-01-24 19:19:00
Lâm Đồng,"Kiến Đức, Đắk R'lấp",0.0,2026-01-24 19:19:00
Lâm Đồng,Ku Kê,0.0,2026-01-24 19:19:00
Lâm Đồng,La Dạ 2,0.0,2026-01-24 19:19:00
Lâm Đồng,Liên Đầm,0.0,2026-01-24 19:19:00
Lâm Đồng,"Long Sơn, Đăk Mil",0.0,2026-01-24 19:19:00
Lâm Đồng,Lạc Dương,0.0,2026-01-24 19:19:00
Lâm Đồng,Lạc Lâm - Đơn Dương,0.0,2026-01-24 19:19:00
Lâm Đồng,Lạc Xuân - Đơn Dương,0.0,2026-01-24 19:19:00
Lâm Đồng,Lộc Lâm - Bảo Lâm,0.0,2026-01-24 19:19:00
Lâm Đồng,Lộc Ngãi,0.0,2026-01-24 19:19:00
Lâm Đồng,Lộc Ngãi 3,0.0,2026-01-24 19:19:00
Lâm Đồng,Lộc Phú - Bảo Lâm,0.0,2026-01-24 19:19:00
Lâm Đồng,Lộc Sơn - Bảo Lộc,0.0,2026-01-24 19:19:00
Lâm Đồng,Lộc Thành,0.0,2026-01-24 19:19:00
Lâm Đồng,Lộc Thành - Bảo Lâm,0.0,2026-01-24 19:19:00
Lâm Đồng,Lộc Tân - Bảo Lâm,0.0,2026-01-24 19:19:00
Lâm Đồng,Mỹ Đức,0.0,2026-01-24 19:19:00
Lâm Đồng,Nam Ban,0.0,2026-01-24 19:19:00
Lâm Đồng,"Nam Dong, Cư Jút",0.0,2026-01-24 19:19:00
Lâm Đồng,Nam Ninh - Cát Tiên,0.0,2026-01-24 19:19:00
Lâm Đồng,"Nam Xuân, Krông Nô",0.0,2026-01-24 19:19:00
Lâm Đồng,"Nghĩa Thắng, Đăk R'lấp",0.0,2026-01-24 19:19:00
Lâm Đồng,"Nghĩa Trung, Gia Nghĩa",0.0,2026-01-24 19:19:00
Lâm Đồng,Nhà máy Hàm Thuận,0.0,2026-01-24 19:19:00
Lâm Đồng,"Nhân Cơ, Đăk R'lấp",0.0,2026-01-24 19:19:00
Lâm Đồng,Ninh Loan - Đức Trọng,0.0,2026-01-24 19:19:00
Lâm Đồng,"Nâm N'Đir, Krông Nô",0.0,2026-01-24 19:19:00
Lâm Đồng,Nâm Nung,0.0,2026-01-24 19:19:00
Lâm Đồng,"Nâm N’Jang, Đắk Song",0.0,2026-01-24 19:19:00
Lâm Đồng,P'Róh - Đơn Dương,0.0,2026-01-24 19:19:00
Lâm Đồng,Phan Dũng,0.0,2026-01-24 19:19:00
Lâm Đồng,Phan Rí Cửa,0.0,2026-01-24 19:19:00
Lâm Đồng,Phan Tiến,0.0,2026-01-24 19:19:00
Lâm Đồng,Phan Điền,0.0,2026-01-24 19:19:00
Lâm Đồng,Phi Tô - Lâm Hà,0.0,2026-01-24 19:19:00
Lâm Đồng,Phúc Thọ - Lâm Hà,0.0,2026-01-24 19:19:00
Lâm Đồng,Phước Cát 2 - Cát Tiên,0.0,2026-01-24 19:19:00
Lâm Đồng,Phước Hội,0.0,2026-01-24 19:19:00
Lâm Đồng,Phường 10,0.0,2026-01-24 19:19:00
Lâm Đồng,Phường 11 - Đà Lạt,0.0,2026-01-24 19:19:00
Lâm Đồng,Phường 12 - Đà Lạt,0.0,2026-01-24 19:19:00
Lâm Đồng,Phường 3,0.0,2026-01-24 19:19:00
Lâm Đồng,Phường 7,0.0,2026-01-24 19:19:00
Lâm Đồng,"Quảng Hòa, Đắk G'Long",0.0,2026-01-24 19:19:00
Lâm Đồng,Quảng Khê,0.0,2026-01-24 19:19:00
Lâm Đồng,Quảng Ngãi - Cát Tiên,0.0,2026-01-24 19:19:00
Lâm Đồng,"Quảng Thành, Gia Nghĩa",0.0,2026-01-24 19:19:00
Lâm Đồng,"Quảng Tâm, Tuy Đức",0.0,2026-01-24 19:19:00
Lâm Đồng,"Quảng Tín, Đăk R'lấp",0.0,2026-01-24 19:19:00
Lâm Đồng,Quốc Oai - Đạ Tẻh,0.0,2026-01-24 19:19:00
Lâm Đồng,Rô Men - Đam Rông,0.0,2026-01-24 19:19:00
Lâm Đồng,Suối Kiết 3,0.0,2026-01-24 19:19:00
Lâm Đồng,Suối Kiết 4,0.0,2026-01-24 19:19:00
Lâm Đồng,Suối Vàng,0.0,2026-01-24 19:19:00
Lâm Đồng,Sơn Điền,0.0,2026-01-24 19:19:00
Lâm Đồng,Sơn Điền PCTT,0.0,2026-01-24 19:19:00
Lâm Đồng,TLBT-Ba Bàu (1),0.0,2026-01-24 19:19:00
Lâm Đồng,TLBT-Ba Bàu (2),0.0,2026-01-24 19:19:00
Lâm Đồng,TLBT-Ba Bàu (3),0.0,2026-01-24 19:19:00
Lâm Đồng,TLBT-Cà Giang (1),0.0,2026-01-24 19:19:00
Lâm Đồng,TLBT-Cà Giây (1),0.0,2026-01-24 19:19:00
Lâm Đồng,TLBT-Cà Giây (2),0.0,2026-01-24 19:19:00
Lâm Đồng,TLBT-Cẩm Hang (1),0.0,2026-01-24 19:19:00
Lâm Đồng,TLBT-Hộc Tám (1),0.0,2026-01-24 19:19:00
Lâm Đồng,TLBT-LT Sông Dinh (1),0.0,2026-01-24 19:19:00
Lâm Đồng,TLBT-Lòng Sông (1),0.0,2026-01-24 19:19:00
Lâm Đồng,TLBT-Núi Đất (1),0.0,2026-01-24 19:19:00
Lâm Đồng,TLBT-Phan Dũng (1),0.0,2026-01-24 19:19:00
Lâm Đồng,TLBT-Suối Đá (1),0.0,2026-01-24 19:19:00
Lâm Đồng,TLBT-Suối Đá (2),0.0,2026-01-24 19:19:00
Lâm Đồng,TLBT-Sông Dinh 3 (1),0.0,2026-01-24 19:19:00
Lâm Đồng,TLBT-Sông Dinh 3 (3),0.0,2026-01-24 19:19:00
Lâm Đồng,TLBT-Sông Dinh 3 (4),0.0,2026-01-24 19:19:00
Lâm Đồng,TLBT-Sông Khán (1),0.0,2026-01-24 19:19:00
Lâm Đồng,TLBT-Sông Khán (2),0.0,2026-01-24 19:19:00
Lâm Đồng,TLBT-Sông Móng (1),0.0,2026-01-24 19:19:00
Lâm Đồng,TLBT-Sông Phan (1),0.0,2026-01-24 19:19:00
Lâm Đồng,TLBT-Sông Quao (1),0.0,2026-01-24 19:19:00
Lâm Đồng,TLBT-Sông Quao (2),0.0,2026-01-24 19:19:00
Lâm Đồng,TLBT-Sông Quao (3),0.0,2026-01-24 19:19:00
Lâm Đồng,TLBT-Tà Mon (1),0.0,2026-01-24 19:19:00
Lâm Đồng,TLBT-Đaguiry (1),0.0,2026-01-24 19:19:00
Lâm Đồng,TLBT-Đập Cô Kiều,0.0,2026-01-24 19:19:00
Lâm Đồng,TLBT-Đủ Đủ (1),0.0,2026-01-24 19:19:00
