Tỉnh/Thành phố,Tên trạm,Huyện,Tổng lượng mưa,Tình trạng,Dấu thời gian,Thời gian cập nhập
Đắk Lắk,Ea Tar,xã Ea Tul,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Sơn Nguyên,xã Sơn Hòa,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Cư A Mung,xã Ea Wy,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Ea Ning,xã Ea Ning,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Hòa Thịnh,xã Hòa Thịnh,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Ea Bar (Ea Bá),xã Ea Bá,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Cư Yang,xã Cư Yang,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Vụ Bổn,xã Vụ Bổn,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Cư Klông,xã Tam Giang,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Chí Thạnh,xã Tuy An Bắc,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Hòa Tiến,xã Krông Pắc,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Hòa Tâm,xã Hòa Xuân,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Ea Sin,xã Cư Pơng,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Ea Kiết,xã Ea Kiết,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Ea Sol,xã Ea Hiao,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,An Mỹ,xã Tuy An Nam,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,VPTT BCH PCTT&amp;TKCN Đăk Lăk,phường Tân An,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Ea Ô,xã Ea Ô,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Ea Tul,xã Ea Tul,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Đăk Phơi,xã Đắk Phơi,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Xuân Lãnh,xã Xuân Lãnh,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Ea Rốk,xã Ea Rốk,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Ea Kmut,xã Ea Kar,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Ea Sô,xã Ea Knốp,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Hòa Quang Bắc,xã Phú Hòa 2,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Ea R'Bin,xã Nam Ka,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Ea Tóh,xã Dliê Ya,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Phú Hòa,xã Phú Hòa 1,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Hòa Khánh,xã Hòa Phú,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Ea Yiêng,xã Tân Tiến,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Phú Lộc,xã Krông Năng,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Krông Pa,xã Suối Trai,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Ea Ly,xã Ea Ly,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Ea Súp,xã Ea Súp,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,TT Sông Hinh,xã Sơn Hòa,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Yang Mao 5,xã Yang Mao,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Lưu vực (Suối Công An) - HCN Suối Vực,xã Sơn Hòa,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Đập - HCN Suối Vực,xã Sơn Hòa,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Ea H'đinh,xã Cư M’gar,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Krông Bông,xã Krông Bông,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Ea Knốp,xã Ea Knốp,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,Cư Prao 2,xã Cư Prao,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Đắk Lắk,ĐLiê Ya 2,xã Dliê Ya,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Long Sơn, Đăk Mil",xã Đắk Sắk,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Tân Lập,xã Tân Lập,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Phan Rí Cửa,xã Phan Rí Cửa,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Đức An, Đắk Song",xã Đức An,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Hồ Sông Phan,xã Tân Lập,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Hàm Cần,xã Hàm Thạnh,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Đăk Ha, Đăk G'Long",phường Bắc Gia Nghĩa,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Tân Thành, Krông Nô",xã Krông Nô,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Đăk Ngo, Tuy Đức",xã Quảng Tân,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Trúc Sơn, Cư Jút",xã Cư Jút,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Tân Phước,phường Phước Hội,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Nam Xuân, Krông Nô",xã Đắk Sắk,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Hàm Tiến,phường Mũi Né,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Vĩnh Hảo,xã Vĩnh Hảo,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Đăk Drông, Cư Jút",xã Nam Dong,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Đăk Mool, Đắk Song",xã Đắk Song,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Phước Hội,phường Phước Hội,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Nhân Cơ, Đăk R'lấp",xã Nhân Cơ,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Đăk N'Drung, Đắk Song",xã Đức An,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đức Thuận,xã Tánh Linh,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Đăk Wer, Đăk R'lấp",xã Nhân Cơ,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Kiến Đức, Đắk R'lấp",xã Kiến Đức,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Khu bảo tồn Nâm Nung, Nâm N’Jang",xã Trường Xuân,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Tân Tiến,xã Tân Hải,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Hưng Bình, Đăk R'lấp",xã Quảng Tín,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đa Kai,xã Nam Thành,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Đăk Săk, Đăk Mil",xã Đắk Sắk,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Bắc Ruộng,xã Bắc Ruộng,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Đắk Gằn, Đăk Mil",xã Đắk Mil,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đức Phú,xã Nghị Đức,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Tiến Thành,phường Tiến Thành,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Đăk R'La, Đăk Mil",xã Đắk Mil,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Đắk Som, Đăk G'Long",xã Tà Đùng,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Hồ Trà Tân,xã Trà Tân,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Phan Điền,xã Hải Ninh,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Nam Dong, Cư Jút",xã Nam Dong,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Đăk Buk So, Tuy Đức",xã Tuy Đức,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,"Nghĩa Thắng, Đăk R'lấp",xã Kiến Đức,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
