Tỉnh,Trạm,Xã/Phường,Lượng mưa (mm),Tình trạng,Ngày và giờ cập nhật,Thời gian crawl
Hà Nội,Vân Đình,xã Vân Đình,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Hà Nội,Sóc Sơn,xã Sóc Sơn,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Hà Nội,Trâu Quỳ,xã Gia Lâm,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Hà Nội,Phúc Thọ,xã Phúc Lộc,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Hà Nội,Hương Sơn,xã Hương Sơn,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Hà Nội,Thường Tín,xã Thường Tín,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Hà Nội,Đông Anh,xã Đông Anh,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Hà Nội,Hoài Đức,xã Sơn Đồng,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Hà Nội,Xuân Mai,xã Xuân Mai,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Hà Nội,Thanh Trì,xã Thanh Trì,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Hà Nội,Bất Bạt,xã Bất Bạt,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Hà Nội,Kim Anh,xã Nội Bài,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Hà Nội,Quốc Oai,xã Kiều Phú,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Hà Nội,Quảng Oai,xã Quảng Oai,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Hà Nội,Thạch Thất,xã Thạch Thất,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Hà Nội,Chúc Sơn,phường Chương Mỹ,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Hà Nội,Liên Mạc,phường Thượng Cát,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Hà Nội,Phú Xuyên,xã Phượng Dực,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Hà Nội,Cầu Rậm,xã Hồng Sơn,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Hà Nội,Suối Hai,xã Bất Bạt,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Hà Nội,Đập Đáy,xã Đan Phượng,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Hà Nội,Miếu Môn,xã Trần Phú,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Hà Nội,An Khánh,xã An Khánh,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Hà Nội,Chợ Cháy,xã Ứng Hòa,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Hà Nội,Thanh Oai,xã Thanh Oai,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Cao Bằng,Kim Loan,xã Vinh Quý,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Cao Bằng,Phi Hải,xã Quảng Uyên,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Cao Bằng,Đức Long,xã Đức Long,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Cao Bằng,Quang Vinh,xã Quang Hán,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Cao Bằng,Sơn Lộ,xã Sơn Lộ,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Cao Bằng,Cốc Pàng,xã Cốc Pàng,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Cao Bằng,Thành Công,xã Thành Công,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Cao Bằng,Minh Long,xã Lý Quốc,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Cao Bằng,Thái Học,xã Yên Thổ,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Cao Bằng,Cần Yên,xã Cần Yên,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Cao Bằng,Đức Thông,xã Canh Tân,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Cao Bằng,Minh Tâm,xã Minh Tâm,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Cao Bằng,Thạch Lâm,xã Quảng Lâm,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Cao Bằng,Đàm Thủy,xã Đàm Thủy,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Cao Bằng,Cô Ba,xã Cô Ba,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Cao Bằng,Tri Phương,xã Quang Trung,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Cao Bằng,Yên Thổ,xã Yên Thổ,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Cao Bằng,Cách Linh,xã Bế Văn Đàn,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Cao Bằng,Tam Kim,xã Tam Kim,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Cao Bằng,Trương Lương,xã Minh Tâm,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Cao Bằng,Án Lại,xã Nguyễn Huệ,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Cao Bằng,Trà Lĩnh,xã Trà Lĩnh,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Cao Bằng,Quảng Uyên,xã Quảng Uyên,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Cao Bằng,Thạch An,xã Đông Khê,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Cao Bằng,Nà Ràng,xã Hà Quảng,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Cao Bằng,Hạ Lang,xã Hạ Lang,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Cao Bằng,Thông Nông,xã Thông Nông,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Cao Bằng,Minh Thanh,xã Nguyên Bình,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Cao Bằng,Tĩnh Túc,xã Tĩnh Túc,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Cao Bằng,Năm Làng,xã Kim Đồng,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Đồng Quý,xã Đông Thọ,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Huyện Bắc Mê,xã Bắc Mê,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Phù Lưu,xã Phù Lưu,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Yên Lâm,xã Yên Phú,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Bình Phú,xã Yên Lập,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Hồng Thái,xã Hồng Thái,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Thượng Sơn,xã Thượng Sơn,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Nậm Ban,xã Tát Ngà,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Ngọc Long PCTT,xã Ngọc Long,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Hùng Đức,xã Hùng Đức,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Tiến Bộ,xã Thái Bình,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Lăng Quán,xã Yên Sơn,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Khuôn Hà,xã Thượng Lâm,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Hồ Ngòi Là,phường Minh Xuân,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Thượng Ấm,xã Bình Ca,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Minh Hương,xã Bình Xa,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Chi cục thủy lợi,phường Hà Giang 1,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Hòa An,xã Hòa An,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Thượng Lâm,xã Thượng Lâm,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Bản Díu PCTT,xã Xín Mần,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Tri Phú,xã Tri Phú,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Chế Là PCTT,xã Nấm Dẩn,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Mỹ Lâm,phường Mỹ Lâm,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Yên Nguyên,xã Yên Nguyên,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Xín Chải,xã Lao Chải,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Thượng Giáp,xã Thượng Nông,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Hoàng Khai,phường An Tường,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Hà Lang,xã Tân An,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Nà Chì,xã Khuôn Lùng,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Thanh Tương,xã Nà Hang,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Thu Tà,xã Trung Thịnh,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Minh Khương,xã Bạch Xa,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Tân Tiến,xã Tân Tiến,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Văn phòng BCH PCTT,phường Minh Xuân,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Tân Trịnh,xã Tân Trịnh,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Cao Bồ,xã Cao Bồ,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Sơn Phú,xã Hồng Thái,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Phú Bình,xã Kiên Đài,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Tiên Nguyên,xã Tiên Nguyên,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Tân Trào,xã Tân Trào,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Trung Hà,xã Trung Hà,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Trung Minh,xã Hùng Lợi,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Thuận Hòa PCTT,xã Thuận Hòa,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Bình An,xã Bình An,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Phúc Yên,xã Lâm Bình,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Bằng Cốc,xã Hàm Yên,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Thái Hòa,xã Thái Hòa,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Xuân Lập PCTT,xã Lâm Bình,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Minh Ngọc,xã Minh Ngọc,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Mỹ Bằng,phường Mỹ Lâm,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Bản Ngò PCTT,xã Pà Vầy Sủ,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Lao Chải PCTT,xã Lao Chải,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Kiến Thiết,xã Kiến Thiết,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Đà Vị,xã Hồng Thái,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Tân Thanh,xã Tân Thanh,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Thiện Kế,xã Sơn Thủy,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Khâu Tinh,xã Yên Hoa,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Đông Lợi,xã Trường Sinh,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Linh Phú,xã Tri Phú,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Thành Long,xã Thái Sơn,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Kiên Đài,xã Kiên Đài,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Hùng Mỹ,xã Tân Mỹ,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Nhữ Hán,xã Nhữ Khê,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Ninh Lai,xã Sơn Thủy,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Đội Bình,xã Nhữ Khê,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Quyết Tiến,xã Quản Bạ,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Thị trấn Cốc Pài,xã Pà Vầy Sủ,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Tam Đa,xã Phú Lương,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Sinh Long,xã Côn Lôn,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Phúc Sơn,xã Minh Quang,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Yên Thuận,xã Bạch Xa,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Phúc Ninh,xã Xuân Vân,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Du Già,xã Du Già,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Chi Thiết,xã Hồng Sơn,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
Tuyên Quang,Lao Chải,xã Lao Chải,0.0,Không mưa,26/12/2025 19:00,26/12/2025 21:37:09
