iter	RMSE
0	0.4962852233
1	0.4923296051
2	0.4884373941
3	0.4844530171
4	0.480889626
5	0.4772859927
6	0.4737883604
7	0.4705839816
8	0.4675787229
9	0.464395813
10	0.4612698955
11	0.4580918905
12	0.4553099986
13	0.4524396049
14	0.4498273572
15	0.4469929908
16	0.4444929741
17	0.4419341453
18	0.4392178966
19	0.4366933089
20	0.4342670307
21	0.4316802244
22	0.4295175836
23	0.427180292
24	0.4251650011
25	0.4232232724
26	0.4211176896
27	0.4191694808
28	0.4171900053
29	0.4154040492
30	0.4133370942
31	0.4115687677
32	0.4097554435
33	0.4080566876
34	0.406366148
35	0.4048402252
36	0.4033280803
37	0.4019890119
38	0.4005165479
39	0.3989657468
40	0.3976588512
41	0.3962862545
42	0.3950149502
43	0.3937709889
44	0.392452804
45	0.3911864824
46	0.3901181164
47	0.3889257491
48	0.3879246572
49	0.3868848897
50	0.3858175238
51	0.3848365116
52	0.3839529139
53	0.3830822798
54	0.3820026671
55	0.3811470934
56	0.3802502165
57	0.3793839607
58	0.3784827487
59	0.3776424125
60	0.3768155133
61	0.3760200336
62	0.3752981298
63	0.3746508983
64	0.3738994575
65	0.3732579003
66	0.3725424367
67	0.3718420099
68	0.3712828816
69	0.3706633785
70	0.3701387525
71	0.3696108469
72	0.369066022
73	0.3685535431
74	0.3680037899
75	0.3675342325
76	0.3670316179
77	0.3665476304
78	0.3660948403
79	0.3656518245
80	0.3651891061
81	0.3647522832
82	0.3643161707
83	0.3639118067
84	0.3635145573
85	0.363158684
86	0.3627778295
87	0.3624036417
88	0.3620501121
89	0.3617136221
90	0.3613905397
91	0.3609547832
92	0.3606291204
93	0.3603108486
94	0.360004131
95	0.3597142875
96	0.3594359279
97	0.3591409739
98	0.3588737466
99	0.3585859866
100	0.3582888315
101	0.3580574424
102	0.3577909341
103	0.3575485945
104	0.3573243475
105	0.3571163831
106	0.3568881415
107	0.3566517596
108	0.3564439031
109	0.3562338547
110	0.3559933011
111	0.3558246813
112	0.3556167536
113	0.3554226702
114	0.3552533714
115	0.3550715688
116	0.3548902039
117	0.3547360233
118	0.3545713963
119	0.3543997818
120	0.3542421091
121	0.3540837489
122	0.3539333406
123	0.3537851266
124	0.3536380164
125	0.3534899457
126	0.3533502794
127	0.3532193448
128	0.3530671829
129	0.3529486766
130	0.3528260976
131	0.3527106643
132	0.352583671
133	0.3524615367
134	0.3523479779
135	0.3522442918
136	0.3521337936
137	0.3520184653
138	0.3519177611
139	0.351820009
140	0.3517178602
141	0.3516129928
142	0.3515120406
143	0.3514249897
144	0.351332356
145	0.3512422596
146	0.3511544501
147	0.3510736472
148	0.3509702035
149	0.3508942675
150	0.3508175574
151	0.3507193481
152	0.3506383369
153	0.3505592846
154	0.3504871796
155	0.3504226762
156	0.350356184
157	0.3502838803
158	0.3502195676
159	0.3501514214
160	0.3500838057
161	0.3500023189
162	0.3499510395
163	0.349901439
164	0.3498529808
165	0.349799972
166	0.3497413366
167	0.3496847412
168	0.3496333351
169	0.3495807073
170	0.3495343026
171	0.3494631493
172	0.3494052842
173	0.3493661861
174	0.3493134849
175	0.3492645101
176	0.3492188562
177	0.3491701571
178	0.3491342934
179	0.349095444
180	0.3490476974
181	0.3490065108
182	0.3489649256
183	0.3489249784
184	0.3488905654
185	0.3488530723
186	0.3488044712
187	0.348767042
188	0.3487326918
189	0.3487047294
190	0.3486694958
191	0.3486385076
192	0.3485986796
193	0.3485625702
194	0.3485319926
195	0.348496969
196	0.3484721387
197	0.3484380336
198	0.3484048579
199	0.3483790189
