iter	Passed	Remaining
0	54	23837
1	61	13437
2	69	10035
3	76	8259
4	83	7219
5	90	6494
6	97	5965
7	103	5542
8	110	5235
9	117	5028
10	124	4836
11	132	4675
12	138	4513
13	145	4388
14	152	4276
15	158	4166
16	165	4091
17	172	4011
18	179	3941
19	185	3867
20	192	3811
21	198	3751
22	205	3697
23	213	3672
24	220	3633
25	227	3590
26	233	3546
27	240	3516
28	247	3482
29	255	3467
30	263	3450
31	271	3435
32	280	3433
33	287	3412
34	295	3389
35	301	3363
36	309	3341
37	316	3320
38	323	3298
39	330	3277
40	336	3250
41	343	3230
42	350	3210
43	356	3185
44	364	3170
45	371	3154
46	377	3136
47	385	3121
48	391	3103
49	398	3084
50	406	3075
51	414	3065
52	421	3050
53	428	3037
54	434	3017
55	441	3003
56	447	2985
57	454	2970
58	461	2957
59	468	2942
60	474	2927
61	482	2916
62	489	2903
63	497	2897
64	505	2891
65	513	2884
66	520	2873
67	527	2862
68	534	2848
69	541	2837
70	547	2824
71	554	2812
72	562	2804
73	569	2795
74	577	2785
75	583	2773
76	590	2763
77	598	2752
78	604	2741
79	612	2732
80	619	2721
81	626	2711
82	633	2702
83	640	2691
84	647	2681
85	653	2668
86	660	2658
87	667	2646
88	673	2633
89	680	2622
90	687	2613
91	694	2604
92	701	2596
93	710	2591
94	717	2582
95	724	2573
96	731	2565
97	738	2555
98	745	2546
99	754	2541
100	762	2536
101	769	2526
102	776	2518
103	784	2510
104	790	2500
105	797	2491
106	804	2480
107	811	2473
108	818	2464
109	824	2452
110	831	2442
111	838	2432
112	845	2423
113	852	2414
114	858	2405
115	865	2394
116	871	2384
117	879	2378
118	886	2369
119	893	2360
120	900	2351
121	907	2343
122	914	2335
123	922	2327
124	928	2318
125	935	2307
126	941	2298
127	948	2290
128	956	2284
129	963	2276
130	971	2268
131	977	2259
132	984	2250
133	992	2244
134	999	2236
135	1008	2231
136	1015	2223
137	1021	2213
138	1028	2204
139	1035	2196
140	1042	2187
141	1048	2178
142	1055	2169
143	1062	2161
144	1070	2155
145	1077	2147
146	1084	2139
147	1091	2130
148	1097	2122
149	1105	2115
150	1112	2107
151	1119	2098
152	1126	2091
153	1133	2082
154	1139	2073
155	1147	2067
156	1154	2059
157	1161	2051
158	1168	2043
159	1175	2035
160	1182	2026
161	1189	2019
162	1196	2011
163	1204	2005
164	1212	1998
165	1220	1991
166	1227	1984
167	1234	1977
168	1242	1969
169	1249	1962
170	1257	1955
171	1265	1950
172	1274	1944
173	1281	1937
174	1289	1930
175	1295	1921
176	1303	1915
177	1312	1909
178	1319	1901
179	1325	1892
180	1332	1884
181	1338	1875
182	1345	1867
183	1352	1859
184	1359	1851
185	1366	1843
186	1373	1836
187	1380	1828
188	1387	1820
189	1393	1811
190	1401	1804
191	1407	1796
192	1414	1788
193	1421	1780
194	1428	1772
195	1435	1765
196	1442	1757
197	1450	1750
198	1457	1742
199	1463	1734
200	1469	1725
201	1476	1717
202	1483	1709
203	1489	1701
204	1496	1693
205	1504	1687
206	1511	1679
207	1519	1672
208	1526	1664
209	1533	1657
210	1541	1651
211	1548	1643
212	1556	1636
213	1562	1628
214	1569	1620
215	1576	1612
216	1583	1605
217	1590	1597
218	1598	1590
219	1605	1583
220	1611	1575
221	1621	1570
222	1628	1562
223	1634	1554
224	1640	1546
225	1648	1538
226	1655	1531
227	1663	1524
228	1669	1516
229	1675	1508
230	1682	1500
231	1689	1492
232	1696	1485
233	1702	1477
234	1709	1469
235	1715	1461
236	1723	1454
237	1730	1447
238	1738	1440
239	1746	1433
240	1753	1426
241	1761	1419
242	1768	1412
243	1775	1404
244	1782	1396
245	1789	1389
246	1796	1381
247	1803	1374
248	1810	1366
249	1817	1359
250	1824	1351
251	1830	1344
252	1837	1336
253	1845	1329
254	1852	1322
255	1859	1314
256	1865	1306
257	1872	1299
258	1878	1291
259	1885	1283
260	1893	1276
261	1900	1269
262	1907	1262
263	1914	1254
264	1920	1246
265	1927	1238
266	1933	1231
267	1940	1223
268	1948	1216
269	1955	1209
270	1961	1201
271	1969	1194
272	1975	1186
273	1982	1179
274	1989	1171
275	1996	1164
276	2003	1157
277	2007	1148
