station_id,station_name,province,district,rain_total,status,timestamp,data_time
Bạch Ngọc 1,Bạch Ngọc 1,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Bạch Ngọc 2,Bạch Ngọc 2,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Bản Díu,Bản Díu,Hà Giang,0.0,4.4,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Bản Ngò,Bản Ngò,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Bản Ngần,Bản Ngần,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Bản Nhùng,Bản Nhùng,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Bản Phùng,Bản Phùng,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Bản Péo,Bản Péo,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Bản Rịa,Bản Rịa,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Cao Bồ,Cao Bồ,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Cao Bồ 1,Cao Bồ 1,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Cao Bồ 2,Cao Bồ 2,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Chi cục thủy lợi,Chi cục thủy lợi,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Chiến Phố,Chiến Phố,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Chế Là,Chế Là,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Cốc Rế,Cốc Rế,Hà Giang,0.0,0.2,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Du Già,Du Già,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Du Già 2,Du Già 2,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Du Già 3,Du Già 3,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Giáp Trung,Giáp Trung,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Huyện Bắc Mê,Huyện Bắc Mê,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Hồ Thầu 1,Hồ Thầu 1,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Hồ Thầu 2,Hồ Thầu 2,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Lao Chải,Lao Chải,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Linh Hồ,Linh Hồ,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Lũng Hồ 1,Lũng Hồ 1,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Lạc Nông 1,Lạc Nông 1,Hà Giang,0.0,0.2,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Minh Ngọc,Minh Ngọc,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Minh Sơn 1,Minh Sơn 1,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Minh Sơn 2,Minh Sơn 2,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Mèo Vạc,Mèo Vạc,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Mậu Long,Mậu Long,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Ngam La 1,Ngam La 1,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Ngam La 2,Ngam La 2,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Ngọc Long,Ngọc Long,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Nà Chì,Nà Chì,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Nàng Đôn,Nàng Đôn,Hà Giang,0.0,0.2,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Nấm Dẩn 2,Nấm Dẩn 2,Hà Giang,0.0,0.4,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Nậm Ban,Nậm Ban,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
Nậm Ban 1,Nậm Ban 1,Hà Giang,0.0,0.0,0.0,2026-03-06 16:00:00,2026-03-06 16:00:00
