station_id,station_name,province,district,latitude,longitude,timestamp,data_source,data_quality,data_time,error_reason,temperature_current,temperature_max,temperature_min,temperature_avg,humidity_current,humidity_max,humidity_min,humidity_avg,pressure_current,pressure_max,pressure_min,pressure_avg,wind_speed_current,wind_speed_max,wind_speed_min,wind_speed_avg,wind_direction_current,wind_direction_avg,rain_current,rain_max,rain_min,rain_avg,rain_total,cloud_cover_current,cloud_cover_max,cloud_cover_min,cloud_cover_avg,visibility_current,visibility_max,visibility_min,visibility_avg,thunder_probability
AG_AT,Huyện An Phú - An Giang,An Giang,An Phú,10.8333,105.0833,2026-03-10 17:43:42,openmeteo,high,2026-03-10T17:30,,31.7,34.8,22.3,28.1,50,94,39,67.8,1009.7,1015.2,1007.0,1011.4,9.7,17.1,0.5,6.9,59,71.5,0.0,0.1,0.1,0.0,0.1,58,100,0,47.0,24.1,24.1,3.2,23.8,10
AG_CL,Huyện Châu Phú - An Giang,An Giang,Châu Phú,10.5667,105.1667,2026-03-10 17:43:51,statistical,medium,2026-03-10T17:43:51.240692,,33.1,37.1,26.9,31.9,66,85,65,75.0,1005.0,1020.0,1007.0,1013.4,2.6,5.8,1.1,3.4,155,18.0,0.0,7.8,0.6,0.7,17.7,61,73,44,60.0,13.1,15.5,10.3,12.9,10
AG_CP,Huyện Châu Thành - An Giang,An Giang,Châu Thành,10.45,105.25,2026-03-10 17:43:43,openmeteo,high,2026-03-10T17:30,,30.1,34.1,22.3,27.5,63,94,42,71.6,1010.1,1015.1,1007.1,1011.4,7.0,17.7,0.4,6.9,125,94.4,0.0,0.9,0.1,0.1,2.0,86,95,9,55.5,24.1,24.1,6.3,23.8,10
AG_CT,Huyện Chợ Mới - An Giang,An Giang,Chợ Mới,10.5333,105.3833,2026-03-10 17:43:46,openmeteo,high,2026-03-10T17:30,,30.1,34.2,22.5,27.8,62,97,43,70.9,1010.1,1015.0,1007.0,1011.3,6.7,16.2,0.5,6.7,126,94.3,0.0,1.1,0.1,0.1,2.4,86,94,0,54.6,24.1,24.1,10.8,23.8,10
AG_PT,Huyện Phú Tân - An Giang,An Giang,Phú Tân,10.65,105.2833,2026-03-10 17:44:04,statistical,medium,2026-03-10T17:44:04.188237,,32.6,36.4,26.7,31.6,80,85,65,74.0,1015.0,1019.0,1005.0,1011.7,3.4,5.7,1.3,3.2,26,0.7,0.0,6.5,2.2,0.8,19.9,72,77,46,61.1,13.2,15.9,9.4,12.6,10
AG_TV,Huyện Thoại Sơn - An Giang,An Giang,Thoại Sơn,10.2667,105.2667,2026-03-10 17:44:01,statistical,medium,2026-03-10T17:44:01.001444,,29.5,33.2,25.0,29.3,70,84,65,73.4,1009.0,1020.0,1007.0,1012.8,3.3,5.8,1.1,3.5,192,4.5,3.2,1.8,0.6,0.1,2.4,49,76,46,57.6,13.3,15.7,10.7,13.0,10
AG_TX,Huyện Tri Tôn - An Giang,An Giang,Tri Tôn,10.4167,105.0,2026-03-10 17:44:08,statistical,medium,2026-03-10T17:44:08.902685,,32.4,36.6,26.5,31.3,82,85,66,73.9,1017.0,1020.0,1006.0,1013.5,3.6,6.0,1.0,3.5,317,190.6,0.0,6.6,0.3,0.8,18.7,73,69,45,57.0,10.5,15.5,11.0,13.3,10
AG_TN,Huyện Tịnh Biên - An Giang,An Giang,Tịnh Biên,10.55,105.0,2026-03-10 17:43:58,statistical,medium,2026-03-10T17:43:58.294254,,30.1,33.7,24.4,29.6,81,84,65,74.8,1005.0,1020.0,1005.0,1013.5,2.5,6.0,1.1,3.7,249,151.6,0.0,6.2,2.5,0.5,12.3,68,75,48,59.6,12.2,15.0,10.8,12.9,10
AG_CD,Thành phố Châu Đốc - An Giang,An Giang,Châu Đốc,10.7,105.1167,2026-03-10 17:43:47,statistical,medium,2026-03-10T17:43:47.660002,,28.1,32.1,23.1,28.2,83,85,65,75.2,1016.0,1020.0,1005.0,1012.9,1.1,5.9,1.1,3.5,12,252.2,0.0,4.6,0.6,0.6,14.8,66,74,44,58.9,12.4,15.7,9.4,12.6,5
AG_LX,Thành phố Long Xuyên - An Giang,An Giang,Long Xuyên,10.3865,105.4351,2026-03-10 17:43:47,statistical,medium,2026-03-10T17:43:47.095068,,31.5,35.5,25.5,30.3,76,85,67,75.2,1011.0,1020.0,1005.0,1012.2,1.5,5.7,1.1,3.2,350,27.5,0.0,7.4,0.7,1.5,35.0,57,73,44,58.2,14.3,15.7,11.0,13.2,10
