station_id,station_name,province,province_std,district,latitude,longitude,timestamp,data_time,data_source,data_quality,temperature_current,temperature_max,temperature_min,temperature_avg,humidity_current,humidity_max,humidity_min,humidity_avg,pressure_current,pressure_max,pressure_min,pressure_avg,wind_speed_current,wind_speed_max,wind_speed_min,wind_speed_avg,wind_direction_current,wind_direction_avg,rain_current,rain_max,rain_min,rain_avg,rain_total,cloud_cover_current,cloud_cover_max,cloud_cover_min,cloud_cover_avg,visibility_current,visibility_max,visibility_min,visibility_avg,thunder_probability,status,_source_file,_file_date,error_reason,_province_std
AG_AT,Huyện An Phú - An Giang,An Giang,An Giang,An Phú,10.8333,105.0833,2026-03-19 13:31:09,2026-03-19 13:30:00,openmeteo,high,32.9,35.7,22.6,28.7,48,94,38,67.2,1010.3,1014.4,1006.6,1010.6,6.9,13.5,1.9,7.3,99,139.4,0.0,0.0,0.0,0.0,0.0,55,97,0,58.4,24.1,24.1,14.2,24.0,10,Không mưa,Bao_cao_20260319_133134.csv,20260319,,An Giang
AG_CL,Huyện Châu Phú - An Giang,An Giang,An Giang,Châu Phú,10.5667,105.1667,2026-03-19 13:31:09,2026-03-19 13:30:00,openmeteo,high,33.2,35.7,22.8,28.7,47,90,36,66.2,1010.3,1014.5,1006.7,1010.7,7.6,13.1,2.1,7.3,93,138.8,0.0,0.1,0.1,0.0,0.3,50,99,10,62.1,24.1,24.1,13.2,24.0,10,Không mưa,Bao_cao_20260319_133134.csv,20260319,,An Giang
AG_CP,Huyện Châu Thành - An Giang,An Giang,An Giang,Châu Thành,10.45,105.25,2026-03-19 13:31:10,2026-03-19 13:30:00,openmeteo,high,32.9,35.3,22.2,28.1,49,96,38,70.2,1010.3,1014.4,1006.7,1010.7,6.8,13.4,1.9,7.1,90,138.9,0.0,0.1,0.1,0.0,0.1,41,100,3,62.6,24.1,24.1,13.2,24.0,10,Không mưa,Bao_cao_20260319_133134.csv,20260319,,An Giang
AG_CT,Huyện Chợ Mới - An Giang,An Giang,An Giang,Chợ Mới,10.5333,105.3833,2026-03-19 13:31:10,2026-03-19 13:30:00,openmeteo,high,33.0,35.2,22.6,28.2,49,95,39,69.7,1010.2,1014.4,1006.6,1010.7,5.8,12.9,2.5,7.2,90,141.2,0.0,0.0,0.0,0.0,0.0,46,100,0,62.5,24.1,24.1,24.1,24.1,10,Không mưa,Bao_cao_20260319_133134.csv,20260319,,An Giang
AG_PT,Huyện Phú Tân - An Giang,An Giang,An Giang,Phú Tân,10.65,105.2833,2026-03-19 13:31:10,2026-03-19 13:30:00,openmeteo,high,33.3,35.9,22.4,28.6,47,94,36,67.3,1010.3,1014.4,1006.6,1010.7,6.1,12.3,1.8,6.9,93,138.4,0.0,0.0,0.0,0.0,0.0,51,99,12,63.8,24.1,24.1,16.0,24.0,10,Không mưa,Bao_cao_20260319_133134.csv,20260319,,An Giang
AG_TV,Huyện Thoại Sơn - An Giang,An Giang,An Giang,Thoại Sơn,10.2667,105.2667,2026-03-19 13:31:10,2026-03-19 13:30:00,openmeteo,high,33.1,35.7,22.9,28.4,47,93,34,68.7,1010.1,1014.3,1006.6,1010.7,7.6,13.1,1.1,7.5,71,126.7,0.0,0.0,0.0,0.0,0.0,42,100,14,66.6,24.1,24.1,24.1,24.1,10,Không mưa,Bao_cao_20260319_133134.csv,20260319,,An Giang
AG_TX,Huyện Tri Tôn - An Giang,An Giang,An Giang,Tri Tôn,10.4167,105.0,2026-03-19 13:31:11,2026-03-19 13:30:00,openmeteo,high,32.9,35.1,23.0,28.4,48,92,39,69.8,1010.3,1014.5,1006.7,1010.8,9.4,13.0,1.5,7.2,86,134.4,0.0,0.0,0.0,0.0,0.0,55,100,14,61.9,24.1,24.1,22.9,24.1,10,Không mưa,Bao_cao_20260319_133134.csv,20260319,,An Giang
AG_TN,Huyện Tịnh Biên - An Giang,An Giang,An Giang,Tịnh Biên,10.55,105.0,2026-03-19 13:31:10,2026-03-19 13:30:00,openmeteo,high,33.6,35.6,23.5,29.0,45,88,37,66.3,1010.3,1014.5,1006.8,1010.8,9.0,13.4,1.8,7.3,88,134.5,0.0,0.1,0.1,0.0,0.1,52,100,11,64.6,24.1,24.1,22.9,24.1,10,Không mưa,Bao_cao_20260319_133134.csv,20260319,,An Giang
AG_CD,Thành phố Châu Đốc - An Giang,An Giang,An Giang,Châu Đốc,10.7,105.1167,2026-03-19 13:31:09,2026-03-19 13:30:00,openmeteo,high,33.3,35.9,22.8,28.9,45,90,35,65.6,1010.3,1014.5,1006.6,1010.6,8.3,13.8,2.2,7.6,92,136.1,0.0,0.1,0.1,0.0,0.1,55,95,6,59.0,24.1,24.1,14.2,24.0,10,Không mưa,Bao_cao_20260319_133134.csv,20260319,,An Giang
AG_LX,Thành phố Long Xuyên - An Giang,An Giang,An Giang,Long Xuyên,10.3865,105.4351,2026-03-19 13:31:09,2026-03-19 13:30:00,openmeteo,high,33.5,35.4,22.5,28.3,46,95,37,68.3,1010.1,1014.4,1006.6,1010.7,6.2,14.3,1.3,7.7,80,133.9,0.0,0.0,0.0,0.0,0.0,38,100,0,62.6,24.1,24.1,24.1,24.1,10,Không mưa,Bao_cao_20260319_133134.csv,20260319,,An Giang
AG_AP,Thị xã Tân Châu - An Giang,An Giang,An Giang,Tân Châu,10.8,105.2167,2026-03-19 13:31:09,2026-03-19 13:30:00,openmeteo,high,33.3,35.8,22.3,28.5,47,95,37,67.7,1010.3,1014.4,1006.6,1010.6,6.2,13.0,1.0,7.3,97,137.6,0.0,0.0,0.0,0.0,0.0,47,100,0,62.0,24.1,24.1,16.0,24.0,10,Không mưa,Bao_cao_20260319_133134.csv,20260319,,An Giang
BL_HH,Huyện Hòa Bình - Bạc Liêu,Bạc Liêu,Bac Lieu,Hòa Bình,9.2833,105.6333,2026-03-19 13:31:33,2026-03-19 13:30:00,openmeteo,high,32.3,32.6,23.7,27.5,47,90,46,72.1,1010.4,1014.2,1008.1,1011.0,16.3,21.3,4.3,11.9,121,106.7,0.0,0.0,0.0,0.0,0.0,28,95,0,58.0,24.1,24.1,24.1,24.1,10,Không mưa,Bao_cao_20260319_133134.csv,20260319,,Bac Lieu
BL_HB,Huyện Hồng Dân - Bạc Liêu,Bạc Liêu,Bac Lieu,Hồng Dân,9.55,105.4167,2026-03-19 13:31:31,2026-03-19 13:30:00,openmeteo,high,32.8,34.3,23.3,27.7,47,94,41,72.3,1009.9,1014.1,1007.4,1010.8,11.5,16.6,1.9,9.0,94,107.7,0.0,0.0,0.0,0.0,0.0,67,100,0,58.4,24.1,24.1,24.1,24.1,10,Không mưa,Bao_cao_20260319_133134.csv,20260319,,Bac Lieu
BL_PT,Huyện Phước Long - Bạc Liêu,Bạc Liêu,Bac Lieu,Phước Long,9.4333,105.4667,2026-03-19 13:31:31,2026-03-19 13:30:00,openmeteo,high,32.8,33.7,23.6,27.7,47,92,43,71.7,1010.1,1014.1,1007.9,1010.9,13.9,19.2,2.3,10.3,111,105.9,0.0,0.0,0.0,0.0,0.0,68,100,0,58.5,24.1,24.1,24.1,24.1,10,Không mưa,Bao_cao_20260319_133134.csv,20260319,,Bac Lieu
BL_VL,Huyện Vĩnh Lợi - Bạc Liêu,Bạc Liêu,Bac Lieu,Vĩnh Lợi,9.35,105.5667,2026-03-19 13:31:31,2026-03-19 13:30:00,openmeteo,high,32.3,32.6,23.7,27.5,47,90,46,72.1,1010.4,1014.2,1008.1,1011.0,16.3,21.3,4.3,11.9,121,106.7,0.0,0.0,0.0,0.0,0.0,28,95,0,58.0,24.1,24.1,24.1,24.1,10,Không mưa,Bao_cao_20260319_133134.csv,20260319,,Bac Lieu
BL_DD,Huyện Đông Hải - Bạc Liêu,Bạc Liêu,Bac Lieu,Đông Hải,9.1667,105.4333,2026-03-19 13:31:31,2026-03-19 13:30:00,openmeteo,high,31.5,32.7,23.9,27.5,54,92,47,73.2,1010.4,1014.1,1007.9,1010.9,18.6,23.0,2.3,11.6,105,106.2,0.0,0.0,0.0,0.0,0.0,77,100,0,58.2,24.1,24.1,24.1,24.1,10,Không mưa,Bao_cao_20260319_133134.csv,20260319,,Bac Lieu
BL_BL,Thành phố Bạc Liêu - Bạc Liêu,Bạc Liêu,Bac Lieu,Bạc Liêu,9.2833,105.7167,2026-03-19 13:31:30,2026-03-19 13:30:00,openmeteo,high,32.0,32.1,24.2,27.6,49,87,49,71.8,1010.5,1014.2,1008.2,1011.0,18.8,23.8,6.2,14.0,110,106.4,0.0,0.0,0.0,0.0,0.0,64,96,0,58.5,24.1,24.1,24.1,24.1,10,Không mưa,Bao_cao_20260319_133134.csv,20260319,,Bac Lieu
BL_GD,Thị xã Giá Rai - Bạc Liêu,Bạc Liêu,Bac Lieu,Giá Rai,9.2333,105.4667,2026-03-19 13:31:31,2026-03-19 13:30:00,openmeteo,high,32.3,33.4,23.5,27.4,49,94,44,73.7,1010.2,1014.1,1007.9,1010.9,15.0,18.8,1.8,9.8,111,105.8,0.0,0.0,0.0,0.0,0.0,81,100,0,59.3,24.1,24.1,24.1,24.1,10,Không mưa,Bao_cao_20260319_133134.csv,20260319,,Bac Lieu
BT_BL,Huyện Ba Tri - Bến Tre,Bến Tre,Ben Tre,Ba Tri,10.0667,106.6,2026-03-19 13:31:20,2026-03-19 13:30:00,openmeteo,high,32.1,32.3,23.9,27.4,45,91,45,72.9,1010.8,1014.4,1008.1,1011.1,18.5,23.2,6.1,13.6,103,112.6,0.0,0.0,0.0,0.0,0.0,42,89,0,61.5,24.1,24.1,24.1,24.1,10,Không mưa,Bao_cao_20260319_133134.csv,20260319,,Ben Tre
BT_BH,Huyện Bình Đại - Bến Tre,Bến Tre,Ben Tre,Bình Đại,10.1833,106.7,2026-03-19 13:31:20,2026-03-19 13:30:00,openmeteo,high,32.1,32.3,23.9,27.4,45,91,45,72.9,1010.8,1014.4,1008.1,1011.1,18.5,23.2,6.1,13.6,103,112.6,0.0,0.0,0.0,0.0,0.0,42,89,0,61.5,24.1,24.1,24.1,24.1,10,Không mưa,Bao_cao_20260319_133134.csv,20260319,,Ben Tre
BT_CL,Huyện Châu Thành - Bến Tre,Bến Tre,Ben Tre,Châu Thành,10.3,106.2667,2026-03-19 13:31:20,2026-03-19 13:30:00,openmeteo,high,32.8,34.1,23.9,28.0,44,90,42,70.9,1010.3,1014.2,1007.4,1010.9,16.5,20.9,3.7,12.6,100,117.8,0.0,0.0,0.0,0.0,0.0,38,92,12,61.2,24.1,24.1,24.1,24.1,10,Không mưa,Bao_cao_20260319_133134.csv,20260319,,Ben Tre
BT_CT,Huyện Chợ Lách - Bến Tre,Bến Tre,Ben Tre,Chợ Lách,10.2667,106.15,2026-03-19 13:31:21,2026-03-19 13:30:00,openmeteo,high,33.5,34.8,23.3,28.1,44,93,39,70.0,1010.0,1014.2,1007.1,1010.8,14.8,19.4,3.2,11.2,91,121.6,0.0,0.0,0.0,0.0,0.0,63,93,3,61.7,24.1,24.1,24.1,24.1,10,Không mưa,Bao_cao_20260319_133134.csv,20260319,,Ben Tre
BT_GD,Huyện Giồng Trôm - Bến Tre,Bến Tre,Ben Tre,Giồng Trôm,10.1667,106.4667,2026-03-19 13:31:21,2026-03-19 13:30:00,openmeteo,high,32.5,32.7,23.9,27.6,44,90,44,72.3,1010.6,1014.3,1007.8,1011.0,17.0,22.7,5.2,13.1,103,115.2,0.0,0.0,0.0,0.0,0.0,25,100,0,61.2,24.1,24.1,24.1,24.1,10,Không mưa,Bao_cao_20260319_133134.csv,20260319,,Ben Tre
BT_MB,Huyện Mỏ Cày Bắc - Bến Tre,Bến Tre,Ben Tre,Mỏ Cày Bắc,10.1333,106.3,2026-03-19 13:31:21,2026-03-19 13:30:00,openmeteo,high,33.4,34.7,23.3,27.9,43,92,39,70.6,1010.2,1014.2,1007.3,1010.9,16.3,20.5,3.1,11.7,96,117.8,0.0,0.0,0.0,0.0,0.0,53,95,0,60.9,24.1,24.1,24.1,24.1,10,Không mưa,Bao_cao_20260319_133134.csv,20260319,,Ben Tre
