station_id,station_name,province,district,rain_total,status,timestamp,data_time
Bãi Thơm,Bãi Thơm,An Giang,đặc khu Phú Quốc,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
An Thới,An Thới,An Giang,đặc khu Phú Quốc,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Cửa Cạn,Cửa Cạn,An Giang,đặc khu Phú Quốc,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Lại Sơn,Lại Sơn,An Giang,đặc khu Kiên Hải,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Thuận Hòa,Thuận Hòa,An Giang,xã Tân Thạnh,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
An Ninh KV3,An Ninh KV3,An Giang,xã An Minh,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Vĩnh Thuận,Vĩnh Thuận,An Giang,xã Vĩnh Phong,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Gò Quao,Gò Quao,An Giang,xã Gò Quao,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Vĩnh Xương,Vĩnh Xương,An Giang,xã Vĩnh Xương,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Vĩnh Hoà Hưng,Vĩnh Hoà Hưng,An Giang,xã Vĩnh Hòa Hưng,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Tà Lọt,Tà Lọt,An Giang,xã Núi Cấm,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Hồ Soài Check,Hồ Soài Check,An Giang,xã Tri Tôn,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Nhơn Hội,Nhơn Hội,An Giang,xã Nhơn Hội,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Châu Phong,Châu Phong,An Giang,xã Châu Phong,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Giồng Riềng,Giồng Riềng,An Giang,xã Thạnh Hưng,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
An Nông,An Nông,An Giang,phường Tịnh Biên,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Núi Sập,Núi Sập,An Giang,xã Thoại Sơn,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Tri Tôn,Tri Tôn,An Giang,xã Hòn Đất,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Mỹ Hội Đông,Mỹ Hội Đông,An Giang,xã Nhơn Mỹ,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
