station_id,station_name,province,province_std,district,latitude,longitude,timestamp,data_time,data_source,data_quality,temperature_current,temperature_max,temperature_min,temperature_avg,humidity_current,humidity_max,humidity_min,humidity_avg,pressure_current,pressure_max,pressure_min,pressure_avg,wind_speed_current,wind_speed_max,wind_speed_min,wind_speed_avg,wind_direction_current,wind_direction_avg,rain_current,rain_max,rain_min,rain_avg,rain_total,cloud_cover_current,cloud_cover_max,cloud_cover_min,cloud_cover_avg,visibility_current,visibility_max,visibility_min,visibility_avg,thunder_probability,status,_source_file,_file_date,error_reason,_province_std
HG_CL,Huyện Châu Thành - Hậu Giang,Hậu Giang,Hau Giang,Châu Thành,9.9333,105.6833,2026-03-20 00:19:34,2026-03-19 01:19:34,statistical,medium,25.5,33.5,24.2,29.1,84.0,85.0,65.0,75.0,1012.0,1020.0,1007.0,1014.1,5.9,5.9,1.3,3.7,225.0,202.4,0.0,7.3,0.2,0.5,11.5,66.0,73.0,43.0,60.6,13.2,16.0,11.0,13.3,5,Không mưa,Bao_cao_Hau_Giang_20260320_001944.csv,20260320,,Hau Giang
HG_CL,Huyện Châu Thành - Hậu Giang,Hậu Giang,Hau Giang,Châu Thành,9.9333,105.6833,2026-03-20 00:19:34,2026-03-19 02:19:34,statistical,medium,24.3,33.5,24.2,29.1,66.0,85.0,65.0,75.0,1013.0,1020.0,1007.0,1014.1,3.7,5.9,1.3,3.7,134.0,202.4,0.0,7.3,0.2,0.5,11.5,57.0,73.0,43.0,60.6,15.3,16.0,11.0,13.3,0,Không mưa,Bao_cao_Hau_Giang_20260320_001944.csv,20260320,,Hau Giang
HG_CL,Huyện Châu Thành - Hậu Giang,Hậu Giang,Hau Giang,Châu Thành,9.9333,105.6833,2026-03-20 00:19:34,2026-03-19 03:19:34,statistical,medium,27.1,33.5,24.2,29.1,68.0,85.0,65.0,75.0,1018.0,1020.0,1007.0,1014.1,5.6,5.9,1.3,3.7,2.0,202.4,0.0,7.3,0.2,0.5,11.5,63.0,73.0,43.0,60.6,15.5,16.0,11.0,13.3,5,Không mưa,Bao_cao_Hau_Giang_20260320_001944.csv,20260320,,Hau Giang
HG_CL,Huyện Châu Thành - Hậu Giang,Hậu Giang,Hau Giang,Châu Thành,9.9333,105.6833,2026-03-20 00:19:34,2026-03-19 04:19:34,statistical,medium,24.2,33.5,24.2,29.1,69.0,85.0,65.0,75.0,1020.0,1020.0,1007.0,1014.1,2.2,5.9,1.3,3.7,32.0,202.4,0.2,7.3,0.2,0.5,11.5,59.0,73.0,43.0,60.6,13.7,16.0,11.0,13.3,0,Mưa,Bao_cao_Hau_Giang_20260320_001944.csv,20260320,,Hau Giang
HG_CL,Huyện Châu Thành - Hậu Giang,Hậu Giang,Hau Giang,Châu Thành,9.9333,105.6833,2026-03-20 00:19:34,2026-03-19 05:19:34,statistical,medium,27.0,33.5,24.2,29.1,81.0,85.0,65.0,75.0,1012.0,1020.0,1007.0,1014.1,2.9,5.9,1.3,3.7,221.0,202.4,7.3,7.3,0.2,0.5,11.5,71.0,73.0,43.0,60.6,11.7,16.0,11.0,13.3,20,Mưa,Bao_cao_Hau_Giang_20260320_001944.csv,20260320,,Hau Giang
HG_CL,Huyện Châu Thành - Hậu Giang,Hậu Giang,Hau Giang,Châu Thành,9.9333,105.6833,2026-03-20 00:19:34,2026-03-19 06:19:34,statistical,medium,27.5,33.5,24.2,29.1,76.0,85.0,65.0,75.0,1015.0,1020.0,1007.0,1014.1,3.8,5.9,1.3,3.7,208.0,202.4,0.0,7.3,0.2,0.5,11.5,62.0,73.0,43.0,60.6,11.0,16.0,11.0,13.3,5,Không mưa,Bao_cao_Hau_Giang_20260320_001944.csv,20260320,,Hau Giang
HG_CL,Huyện Châu Thành - Hậu Giang,Hậu Giang,Hau Giang,Châu Thành,9.9333,105.6833,2026-03-20 00:19:34,2026-03-19 07:19:34,statistical,medium,25.8,33.5,24.2,29.1,65.0,85.0,65.0,75.0,1020.0,1020.0,1007.0,1014.1,1.4,5.9,1.3,3.7,214.0,202.4,0.0,7.3,0.2,0.5,11.5,58.0,73.0,43.0,60.6,14.0,16.0,11.0,13.3,5,Không mưa,Bao_cao_Hau_Giang_20260320_001944.csv,20260320,,Hau Giang
HG_CL,Huyện Châu Thành - Hậu Giang,Hậu Giang,Hau Giang,Châu Thành,9.9333,105.6833,2026-03-20 00:19:34,2026-03-19 08:19:34,statistical,medium,30.2,33.5,24.2,29.1,65.0,85.0,65.0,75.0,1018.0,1020.0,1007.0,1014.1,1.8,5.9,1.3,3.7,263.0,202.4,0.0,7.3,0.2,0.5,11.5,60.0,73.0,43.0,60.6,16.0,16.0,11.0,13.3,10,Không mưa,Bao_cao_Hau_Giang_20260320_001944.csv,20260320,,Hau Giang
HG_CL,Huyện Châu Thành - Hậu Giang,Hậu Giang,Hau Giang,Châu Thành,9.9333,105.6833,2026-03-20 00:19:34,2026-03-19 09:19:34,statistical,medium,30.4,33.5,24.2,29.1,82.0,85.0,65.0,75.0,1009.0,1020.0,1007.0,1014.1,5.0,5.9,1.3,3.7,12.0,202.4,0.0,7.3,0.2,0.5,11.5,62.0,73.0,43.0,60.6,12.2,16.0,11.0,13.3,10,Không mưa,Bao_cao_Hau_Giang_20260320_001944.csv,20260320,,Hau Giang
HG_CL,Huyện Châu Thành - Hậu Giang,Hậu Giang,Hau Giang,Châu Thành,9.9333,105.6833,2026-03-20 00:19:34,2026-03-19 10:19:34,statistical,medium,29.4,33.5,24.2,29.1,85.0,85.0,65.0,75.0,1015.0,1020.0,1007.0,1014.1,5.1,5.9,1.3,3.7,130.0,202.4,0.0,7.3,0.2,0.5,11.5,70.0,73.0,43.0,60.6,13.1,16.0,11.0,13.3,5,Không mưa,Bao_cao_Hau_Giang_20260320_001944.csv,20260320,,Hau Giang
HG_CL,Huyện Châu Thành - Hậu Giang,Hậu Giang,Hau Giang,Châu Thành,9.9333,105.6833,2026-03-20 00:19:34,2026-03-19 11:19:34,statistical,medium,28.0,33.5,24.2,29.1,77.0,85.0,65.0,75.0,1009.0,1020.0,1007.0,1014.1,1.8,5.9,1.3,3.7,43.0,202.4,0.0,7.3,0.2,0.5,11.5,56.0,73.0,43.0,60.6,12.4,16.0,11.0,13.3,5,Không mưa,Bao_cao_Hau_Giang_20260320_001944.csv,20260320,,Hau Giang
HG_CL,Huyện Châu Thành - Hậu Giang,Hậu Giang,Hau Giang,Châu Thành,9.9333,105.6833,2026-03-20 00:19:34,2026-03-19 12:19:34,statistical,medium,30.5,33.5,24.2,29.1,80.0,85.0,65.0,75.0,1007.0,1020.0,1007.0,1014.1,1.3,5.9,1.3,3.7,143.0,202.4,0.0,7.3,0.2,0.5,11.5,66.0,73.0,43.0,60.6,11.6,16.0,11.0,13.3,10,Không mưa,Bao_cao_Hau_Giang_20260320_001944.csv,20260320,,Hau Giang
HG_CL,Huyện Châu Thành - Hậu Giang,Hậu Giang,Hau Giang,Châu Thành,9.9333,105.6833,2026-03-20 00:19:34,2026-03-19 13:19:34,statistical,medium,33.1,33.5,24.2,29.1,72.0,85.0,65.0,75.0,1012.0,1020.0,1007.0,1014.1,3.9,5.9,1.3,3.7,215.0,202.4,4.0,7.3,0.2,0.5,11.5,57.0,73.0,43.0,60.6,14.7,16.0,11.0,13.3,15,Mưa,Bao_cao_Hau_Giang_20260320_001944.csv,20260320,,Hau Giang
HG_CL,Huyện Châu Thành - Hậu Giang,Hậu Giang,Hau Giang,Châu Thành,9.9333,105.6833,2026-03-20 00:19:34,2026-03-19 14:19:34,statistical,medium,33.5,33.5,24.2,29.1,66.0,85.0,65.0,75.0,1018.0,1020.0,1007.0,1014.1,3.9,5.9,1.3,3.7,292.0,202.4,0.0,7.3,0.2,0.5,11.5,57.0,73.0,43.0,60.6,16.0,16.0,11.0,13.3,10,Không mưa,Bao_cao_Hau_Giang_20260320_001944.csv,20260320,,Hau Giang
HG_CL,Huyện Châu Thành - Hậu Giang,Hậu Giang,Hau Giang,Châu Thành,9.9333,105.6833,2026-03-20 00:19:34,2026-03-19 15:19:34,statistical,medium,33.5,33.5,24.2,29.1,68.0,85.0,65.0,75.0,1007.0,1020.0,1007.0,1014.1,2.9,5.9,1.3,3.7,174.0,202.4,0.0,7.3,0.2,0.5,11.5,48.0,73.0,43.0,60.6,14.4,16.0,11.0,13.3,10,Không mưa,Bao_cao_Hau_Giang_20260320_001944.csv,20260320,,Hau Giang
HG_CL,Huyện Châu Thành - Hậu Giang,Hậu Giang,Hau Giang,Châu Thành,9.9333,105.6833,2026-03-20 00:19:34,2026-03-19 16:19:34,statistical,medium,31.3,33.5,24.2,29.1,66.0,85.0,65.0,75.0,1018.0,1020.0,1007.0,1014.1,4.3,5.9,1.3,3.7,20.0,202.4,0.0,7.3,0.2,0.5,11.5,43.0,73.0,43.0,60.6,12.2,16.0,11.0,13.3,10,Không mưa,Bao_cao_Hau_Giang_20260320_001944.csv,20260320,,Hau Giang
HG_CL,Huyện Châu Thành - Hậu Giang,Hậu Giang,Hau Giang,Châu Thành,9.9333,105.6833,2026-03-20 00:19:34,2026-03-19 17:19:34,statistical,medium,30.4,33.5,24.2,29.1,65.0,85.0,65.0,75.0,1007.0,1020.0,1007.0,1014.1,5.9,5.9,1.3,3.7,201.0,202.4,0.0,7.3,0.2,0.5,11.5,52.0,73.0,43.0,60.6,14.1,16.0,11.0,13.3,10,Không mưa,Bao_cao_Hau_Giang_20260320_001944.csv,20260320,,Hau Giang
HG_CL,Huyện Châu Thành - Hậu Giang,Hậu Giang,Hau Giang,Châu Thành,9.9333,105.6833,2026-03-20 00:19:34,2026-03-19 18:19:34,statistical,medium,27.7,33.5,24.2,29.1,84.0,85.0,65.0,75.0,1013.0,1020.0,1007.0,1014.1,3.3,5.9,1.3,3.7,50.0,202.4,0.0,7.3,0.2,0.5,11.5,58.0,73.0,43.0,60.6,13.0,16.0,11.0,13.3,5,Không mưa,Bao_cao_Hau_Giang_20260320_001944.csv,20260320,,Hau Giang
HG_CL,Huyện Châu Thành - Hậu Giang,Hậu Giang,Hau Giang,Châu Thành,9.9333,105.6833,2026-03-20 00:19:34,2026-03-19 19:19:34,statistical,medium,30.2,33.5,24.2,29.1,84.0,85.0,65.0,75.0,1019.0,1020.0,1007.0,1014.1,4.6,5.9,1.3,3.7,341.0,202.4,0.0,7.3,0.2,0.5,11.5,73.0,73.0,43.0,60.6,13.2,16.0,11.0,13.3,10,Không mưa,Bao_cao_Hau_Giang_20260320_001944.csv,20260320,,Hau Giang
