station_id,station_name,province,district,rain_total,status,timestamp,data_time
Bãi Thơm,Bãi Thơm,An_Giang,đặc khu Phú Quốc,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:06:09
An Thới,An Thới,An_Giang,đặc khu Phú Quốc,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:06:09
Cửa Cạn,Cửa Cạn,An_Giang,đặc khu Phú Quốc,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:06:09
Lại Sơn,Lại Sơn,An_Giang,đặc khu Kiên Hải,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:06:09
Thuận Hòa,Thuận Hòa,An_Giang,xã Tân Thạnh,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:06:09
An Ninh KV3,An Ninh KV3,An_Giang,xã An Minh,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:06:09
Vĩnh Thuận,Vĩnh Thuận,An_Giang,xã Vĩnh Phong,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:06:09
Gò Quao,Gò Quao,An_Giang,xã Gò Quao,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:06:09
Vĩnh Xương,Vĩnh Xương,An_Giang,xã Vĩnh Xương,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:06:09
Vĩnh Hoà Hưng,Vĩnh Hoà Hưng,An_Giang,xã Vĩnh Hòa Hưng,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:06:09
Tà Lọt,Tà Lọt,An_Giang,xã Núi Cấm,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:06:09
Hồ Soài Check,Hồ Soài Check,An_Giang,xã Tri Tôn,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:06:09
Nhơn Hội,Nhơn Hội,An_Giang,xã Nhơn Hội,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:06:09
Châu Phong,Châu Phong,An_Giang,xã Châu Phong,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:06:09
Giồng Riềng,Giồng Riềng,An_Giang,xã Thạnh Hưng,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:06:09
An Nông,An Nông,An_Giang,phường Tịnh Biên,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:06:09
