station_id,station_name,province,district,rain_total,status,timestamp,data_time
Phường 8,Phường 8,Ca_Mau,phường Bạc Liêu,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:45:24
An Xuyên,An Xuyên,Ca_Mau,phường An Xuyên,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:45:24
Nguyễn Phích,Nguyễn Phích,Ca_Mau,xã Nguyễn Phích,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:45:24
Ninh Thạnh Lợi,Ninh Thạnh Lợi,Ca_Mau,xã Ninh Thạnh Lợi,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:45:24
Châu Thới,Châu Thới,Ca_Mau,xã Châu Thới,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:45:24
Tân Phong,Tân Phong,Ca_Mau,xã Phong Thạnh,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:45:24
Khánh Bình,Khánh Bình,Ca_Mau,xã Khánh Bình,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:45:24
Định Thành,Định Thành,Ca_Mau,xã Định Thành,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:45:24
Ngã Tư Ninh Quới,Ngã Tư Ninh Quới,Ca_Mau,xã Ninh Quới,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:45:24
Điền Hải,Điền Hải,Ca_Mau,xã Long Điền,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:45:24
Hàm Rồng,Hàm Rồng,Ca_Mau,xã Năm Căn,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:45:24
Phó Sinh,Phó Sinh,Ca_Mau,xã Phước Long,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:45:24
Lâm Hải,Lâm Hải,Ca_Mau,xã Đất Mới,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:45:24
Cái Cùng,Cái Cùng,Ca_Mau,xã Vĩnh Hậu,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:45:24
Cầu số 2,Cầu số 2,Ca_Mau,xã Vĩnh Mỹ,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:45:24
Tân Hưng,Tân Hưng,Ca_Mau,xã Tân Hưng,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:45:24
