station_id,station_name,province,district,rain_total,status,timestamp,data_time
Giồng Trôm,Giồng Trôm,Vinh_Long,xã Giồng Trôm,0.0,Không mưa,20/03/2026 19:00,20/03/2026 13:14:47
Định Trung,Định Trung,Vinh_Long,xã Thạnh Trị,0.0,Không mưa,20/03/2026 19:00,20/03/2026 13:14:47
Trà Ôn,Trà Ôn,Vinh_Long,xã Trà Ôn,0.0,Không mưa,20/03/2026 19:00,20/03/2026 13:14:47
Bến Gia,Bến Gia,Vinh_Long,phường Trường Long Hòa,0.0,Không mưa,20/03/2026 19:00,20/03/2026 13:14:47
Mỏ Cày,Mỏ Cày,Vinh_Long,xã Mỏ Cày,0.0,Không mưa,20/03/2026 19:00,20/03/2026 13:14:47
Vĩnh Long,Vĩnh Long,Vinh_Long,xã Song Phú,0.0,Không mưa,20/03/2026 19:00,20/03/2026 13:14:47
Tiểu Cần,Tiểu Cần,Vinh_Long,xã Tiểu Cần,0.0,Không mưa,20/03/2026 19:00,20/03/2026 13:14:47
Phú Khánh,Phú Khánh,Vinh_Long,xã Đại Điền,0.0,Không mưa,20/03/2026 19:00,20/03/2026 13:14:47
Cẩm Sơn,Cẩm Sơn,Vinh_Long,xã Hương Mỹ,0.0,Không mưa,20/03/2026 19:00,20/03/2026 13:14:47
Hương Mỹ,Hương Mỹ,Vinh_Long,xã Hương Mỹ,0.0,Không mưa,20/03/2026 19:00,20/03/2026 13:14:47
Tân Phú,Tân Phú,Vinh_Long,xã Tân Phú,0.0,Không mưa,20/03/2026 19:00,20/03/2026 13:14:47
TP. Bến Tre,TP. Bến Tre,Vinh_Long,phường An Hội,0.0,Không mưa,20/03/2026 19:00,20/03/2026 13:14:47
An Ngãi Trung,An Ngãi Trung,Vinh_Long,xã An Ngãi Trung,0.0,Không mưa,20/03/2026 19:00,20/03/2026 13:14:47
Trà Cú,Trà Cú,Vinh_Long,xã Trà Cú,0.0,Không mưa,20/03/2026 19:00,20/03/2026 13:14:47
Giồng Trôm,Giồng Trôm,Vinh_Long,xã Giồng Trôm,0.0,Không mưa,20/03/2026 19:00,20/03/2026 13:18:06
Định Trung,Định Trung,Vinh_Long,xã Thạnh Trị,0.0,Không mưa,20/03/2026 19:00,20/03/2026 13:18:06
Trà Ôn,Trà Ôn,Vinh_Long,xã Trà Ôn,0.0,Không mưa,20/03/2026 19:00,20/03/2026 13:18:06
Bến Gia,Bến Gia,Vinh_Long,phường Trường Long Hòa,0.0,Không mưa,20/03/2026 19:00,20/03/2026 13:18:06
Mỏ Cày,Mỏ Cày,Vinh_Long,xã Mỏ Cày,0.0,Không mưa,20/03/2026 19:00,20/03/2026 13:18:06
Vĩnh Long,Vĩnh Long,Vinh_Long,xã Song Phú,0.0,Không mưa,20/03/2026 19:00,20/03/2026 13:18:06
Tiểu Cần,Tiểu Cần,Vinh_Long,xã Tiểu Cần,0.0,Không mưa,20/03/2026 19:00,20/03/2026 13:18:06
Phú Khánh,Phú Khánh,Vinh_Long,xã Đại Điền,0.0,Không mưa,20/03/2026 19:00,20/03/2026 13:18:06
Cẩm Sơn,Cẩm Sơn,Vinh_Long,xã Hương Mỹ,0.0,Không mưa,20/03/2026 19:00,20/03/2026 13:18:06
Hương Mỹ,Hương Mỹ,Vinh_Long,xã Hương Mỹ,0.0,Không mưa,20/03/2026 19:00,20/03/2026 13:18:06
Tân Phú,Tân Phú,Vinh_Long,xã Tân Phú,0.0,Không mưa,20/03/2026 19:00,20/03/2026 13:18:06
TP. Bến Tre,TP. Bến Tre,Vinh_Long,phường An Hội,0.0,Không mưa,20/03/2026 19:00,20/03/2026 13:18:06
An Ngãi Trung,An Ngãi Trung,Vinh_Long,xã An Ngãi Trung,0.0,Không mưa,20/03/2026 19:00,20/03/2026 13:18:06
Trà Cú,Trà Cú,Vinh_Long,xã Trà Cú,0.0,Không mưa,20/03/2026 19:00,20/03/2026 13:18:06
Giồng Trôm,Giồng Trôm,Vinh_Long,xã Giồng Trôm,0.0,Không mưa,20/03/2026 19:00,20/03/2026 14:49:34
Định Trung,Định Trung,Vinh_Long,xã Thạnh Trị,0.0,Không mưa,20/03/2026 19:00,20/03/2026 14:49:34
Trà Ôn,Trà Ôn,Vinh_Long,xã Trà Ôn,0.0,Không mưa,20/03/2026 19:00,20/03/2026 14:49:34
Bến Gia,Bến Gia,Vinh_Long,phường Trường Long Hòa,0.0,Không mưa,20/03/2026 19:00,20/03/2026 14:49:34
Mỏ Cày,Mỏ Cày,Vinh_Long,xã Mỏ Cày,0.0,Không mưa,20/03/2026 19:00,20/03/2026 14:49:34
Vĩnh Long,Vĩnh Long,Vinh_Long,xã Song Phú,0.0,Không mưa,20/03/2026 19:00,20/03/2026 14:49:34
Tiểu Cần,Tiểu Cần,Vinh_Long,xã Tiểu Cần,0.0,Không mưa,20/03/2026 19:00,20/03/2026 14:49:34
Phú Khánh,Phú Khánh,Vinh_Long,xã Đại Điền,0.0,Không mưa,20/03/2026 19:00,20/03/2026 14:49:34
Cẩm Sơn,Cẩm Sơn,Vinh_Long,xã Hương Mỹ,0.0,Không mưa,20/03/2026 19:00,20/03/2026 14:49:34
Hương Mỹ,Hương Mỹ,Vinh_Long,xã Hương Mỹ,0.0,Không mưa,20/03/2026 19:00,20/03/2026 14:49:34
Tân Phú,Tân Phú,Vinh_Long,xã Tân Phú,0.0,Không mưa,20/03/2026 19:00,20/03/2026 14:49:34
TP. Bến Tre,TP. Bến Tre,Vinh_Long,phường An Hội,0.0,Không mưa,20/03/2026 19:00,20/03/2026 14:49:34
An Ngãi Trung,An Ngãi Trung,Vinh_Long,xã An Ngãi Trung,0.0,Không mưa,20/03/2026 19:00,20/03/2026 14:49:34
Trà Cú,Trà Cú,Vinh_Long,xã Trà Cú,0.0,Không mưa,20/03/2026 19:00,20/03/2026 14:49:34
Giồng Trôm,Giồng Trôm,Vinh_Long,xã Giồng Trôm,0.0,Không mưa,20/03/2026 19:00,20/03/2026 15:03:31
Định Trung,Định Trung,Vinh_Long,xã Thạnh Trị,0.0,Không mưa,20/03/2026 19:00,20/03/2026 15:03:31
Trà Ôn,Trà Ôn,Vinh_Long,xã Trà Ôn,0.0,Không mưa,20/03/2026 19:00,20/03/2026 15:03:31
Bến Gia,Bến Gia,Vinh_Long,phường Trường Long Hòa,0.0,Không mưa,20/03/2026 19:00,20/03/2026 15:03:31
Mỏ Cày,Mỏ Cày,Vinh_Long,xã Mỏ Cày,0.0,Không mưa,20/03/2026 19:00,20/03/2026 15:03:31
Vĩnh Long,Vĩnh Long,Vinh_Long,xã Song Phú,0.0,Không mưa,20/03/2026 19:00,20/03/2026 15:03:31
Tiểu Cần,Tiểu Cần,Vinh_Long,xã Tiểu Cần,0.0,Không mưa,20/03/2026 19:00,20/03/2026 15:03:31
Phú Khánh,Phú Khánh,Vinh_Long,xã Đại Điền,0.0,Không mưa,20/03/2026 19:00,20/03/2026 15:03:31
Cẩm Sơn,Cẩm Sơn,Vinh_Long,xã Hương Mỹ,0.0,Không mưa,20/03/2026 19:00,20/03/2026 15:03:31
Hương Mỹ,Hương Mỹ,Vinh_Long,xã Hương Mỹ,0.0,Không mưa,20/03/2026 19:00,20/03/2026 15:03:31
Tân Phú,Tân Phú,Vinh_Long,xã Tân Phú,0.0,Không mưa,20/03/2026 19:00,20/03/2026 15:03:31
TP. Bến Tre,TP. Bến Tre,Vinh_Long,phường An Hội,0.0,Không mưa,20/03/2026 19:00,20/03/2026 15:03:31
An Ngãi Trung,An Ngãi Trung,Vinh_Long,xã An Ngãi Trung,0.0,Không mưa,20/03/2026 19:00,20/03/2026 15:03:31
Trà Cú,Trà Cú,Vinh_Long,xã Trà Cú,0.0,Không mưa,20/03/2026 19:00,20/03/2026 15:03:31
