station_id,station_name,province,province_std,district,latitude,longitude,timestamp,data_time,data_source,data_quality,temperature_current,temperature_max,temperature_min,temperature_avg,humidity_current,humidity_max,humidity_min,humidity_avg,pressure_current,pressure_max,pressure_min,pressure_avg,wind_speed_current,wind_speed_max,wind_speed_min,wind_speed_avg,wind_direction_current,wind_direction_avg,rain_current,rain_max,rain_min,rain_avg,rain_total,cloud_cover_current,cloud_cover_max,cloud_cover_min,cloud_cover_avg,visibility_current,visibility_max,visibility_min,visibility_avg,thunder_probability,status,_source_file,_file_date,error_reason,_province_std
CM_TP,Thành phố Cà Mau - Cà Mau,Cà Mau,Ca Mau,Cà Mau,9.1769,105.1521,2026-03-06 15:49:33,2026-03-06 15:45:00,openmeteo,medium,29.3,32.9,23.9,27.3,75.0,96.0,48.0,78.0,1008.6,1014.3,1008.1,1011.1,9.4,25.8,4.6,12.1,72.0,86.2,1.1,4.4,0.0,0.8,18.8,50.0,72.0,10.0,48.0,13.0,10.0,8.0,9.0,10.0,,Bao_cao_20260306_155820.xlsx,20260306,,Ca Mau
CM_CM,Huyện Cái Nước - Cà Mau,Cà Mau,Ca Mau,Cái Nước,9.0,105.0333,2026-03-06 15:49:36,2026-03-06 15:45:00,openmeteo,medium,29.1,32.9,23.9,27.3,75.0,97.0,49.0,78.5,1008.6,1014.3,1008.2,1011.1,12.8,26.8,4.7,13.0,80.0,85.9,1.3,5.1,0.0,0.7,17.1,59.0,86.0,25.0,69.0,10.0,13.0,7.0,10.0,1.0,,Bao_cao_20260306_155820.xlsx,20260306,,Ca Mau
CM_DH,Huyện Đầm Dơi - Cà Mau,Cà Mau,Ca Mau,Đầm Dơi,8.9833,105.2,2026-03-06 15:49:39,2026-03-06 15:45:00,openmeteo,medium,29.2,32.2,24.2,27.5,73.0,96.0,54.0,77.1,1008.7,1014.4,1008.5,1011.1,17.7,32.4,5.4,16.5,84.0,82.2,0.1,2.6,0.0,0.3,7.5,30.0,91.0,20.0,33.0,6.0,18.0,5.0,9.0,8.0,,Bao_cao_20260306_155820.xlsx,20260306,,Ca Mau
CM_NC,Huyện Năm Căn - Cà Mau,Cà Mau,Ca Mau,Năm Căn,8.75,105.0,2026-03-06 15:49:41,2026-03-06 15:45:00,openmeteo,medium,29.9,31.9,24.9,27.8,66.0,94.0,54.0,76.3,1008.5,1014.2,1008.4,1011.0,19.1,32.3,8.6,17.8,78.0,82.7,0.1,1.5,0.0,0.2,4.0,58.0,60.0,17.0,58.0,11.0,12.0,3.0,10.0,22.0,,Bao_cao_20260306_155820.xlsx,20260306,,Ca Mau
CM_NG,Huyện Ngọc Hiển - Cà Mau,Cà Mau,Ca Mau,Ngọc Hiển,8.6667,105.05,2026-03-06 15:49:43,2026-03-06 15:45:00,openmeteo,medium,29.6,31.2,25.2,27.8,65.0,92.0,55.0,75.5,1008.7,1014.3,1008.7,1011.1,23.1,31.7,7.5,19.8,79.0,81.5,0.0,0.4,0.0,0.0,0.9,51.0,79.0,19.0,64.0,9.0,18.0,8.0,7.0,29.0,,Bao_cao_20260306_155820.xlsx,20260306,,Ca Mau
CM_PT,Huyện Phú Tân - Cà Mau,Cà Mau,Ca Mau,Phú Tân,8.8833,104.8833,2026-03-06 15:49:45,2026-03-06 15:45:00,openmeteo,medium,28.4,31.0,26.0,28.0,80.0,92.0,57.0,77.9,1008.7,1014.1,1008.3,1011.1,11.0,38.0,2.5,21.8,32.0,81.8,1.8,9.1,0.0,2.1,49.4,68.0,77.0,10.0,70.0,8.0,19.0,4.0,10.0,26.0,,Bao_cao_20260306_155820.xlsx,20260306,,Ca Mau
CM_TV,Huyện Thới Bình - Cà Mau,Cà Mau,Ca Mau,Thới Bình,9.35,105.1,2026-03-06 15:49:48,2026-03-06 15:45:00,openmeteo,medium,29.5,33.2,23.3,27.2,70.0,97.0,46.0,78.1,1008.8,1014.3,1008.1,1011.1,11.9,22.9,1.6,10.1,29.0,87.5,0.0,1.6,0.0,0.6,15.2,72.0,76.0,34.0,44.0,11.0,13.0,4.0,12.0,28.0,,Bao_cao_20260306_155820.xlsx,20260306,,Ca Mau
CM_TR,Huyện Trần Văn Thời - Cà Mau,Cà Mau,Ca Mau,Trần Văn Thời,9.0833,104.9667,2026-03-06 15:49:50,2026-03-06 15:45:00,openmeteo,medium,28.6,32.8,24.2,27.4,78.0,96.0,49.0,78.7,1008.8,1014.2,1008.3,1011.1,9.5,28.1,2.0,13.5,11.0,85.4,1.9,7.7,0.0,1.3,30.1,73.0,69.0,22.0,51.0,15.0,10.0,2.0,11.0,7.0,,Bao_cao_20260306_155820.xlsx,20260306,,Ca Mau
CM_UM,Huyện U Minh - Cà Mau,Cà Mau,Ca Mau,U Minh,9.4,104.9833,2026-03-06 15:49:53,2026-03-06 15:45:00,openmeteo,medium,29.1,32.8,24.6,27.6,75.0,95.0,49.0,78.1,1008.6,1014.3,1008.2,1011.1,15.8,26.3,2.5,12.8,17.0,85.3,0.8,3.2,0.0,1.0,22.8,24.0,60.0,11.0,51.0,12.0,17.0,6.0,6.0,28.0,,Bao_cao_20260306_155820.xlsx,20260306,,Ca Mau
CM_TP,Thành phố Cà Mau - Cà Mau,Cà Mau,Ca Mau,Cà Mau,9.1769,105.1521,2026-03-08 12:44:56,2026-03-08 12:30:00,openmeteo,medium,31.3,32.1,23.5,26.9,52.0,94.0,48.0,77.5,1010.9,1014.3,1008.6,1011.5,13.1,20.6,1.1,11.2,58.0,90.7,0.0,6.8,0.0,0.9,20.5,31.0,95.0,16.0,54.0,6.0,14.0,7.0,10.0,27.0,,Bao_cao_20260308_125220.xlsx,20260308,,Ca Mau
