station_id,station_name,province,province_std,district,latitude,longitude,timestamp,data_time,data_source,data_quality,temperature_current,temperature_max,temperature_min,temperature_avg,humidity_current,humidity_max,humidity_min,humidity_avg,pressure_current,pressure_max,pressure_min,pressure_avg,wind_speed_current,wind_speed_max,wind_speed_min,wind_speed_avg,wind_direction_current,wind_direction_avg,rain_current,rain_max,rain_min,rain_avg,rain_total,cloud_cover_current,cloud_cover_max,cloud_cover_min,cloud_cover_avg,visibility_current,visibility_max,visibility_min,visibility_avg,thunder_probability,status,_source_file,_file_date,error_reason,_province_std
KG_RG,Thành phố Rạch Giá - Kiên Giang,Kiên Giang,Kien Giang,Rạch Giá,10.0317,105.0809,2026-03-06 15:48:59,2026-03-06 15:45:00,openmeteo,medium,28.8,33.2,25.4,28.0,73.0,91.0,48.0,76.1,1008.9,1014.8,1007.7,1011.2,7.6,19.0,1.9,9.7,31.0,84.9,0.6,3.7,0.0,1.3,32.1,54.0,71.0,27.0,30.0,11.0,11.0,8.0,10.0,8.0,,Bao_cao_20260306_155820.xlsx,20260306,,Kien Giang
KG_HN,Thành phố Hà Tiên - Kiên Giang,Kiên Giang,Kien Giang,Hà Tiên,10.3833,104.4833,2026-03-06 15:49:02,2026-03-06 15:45:00,openmeteo,medium,30.0,31.1,25.6,28.5,61.0,88.0,56.0,74.7,1008.6,1015.0,1008.1,1011.2,12.1,19.5,1.1,9.3,27.0,106.8,0.3,3.3,0.0,2.2,52.1,40.0,85.0,29.0,37.0,7.0,18.0,4.0,11.0,4.0,,Bao_cao_20260306_155820.xlsx,20260306,,Kien Giang
KG_PQ,Huyện Phú Quốc - Kiên Giang,Kiên Giang,Kien Giang,Phú Quốc,10.227,103.9679,2026-03-06 15:49:04,2026-03-06 15:45:00,openmeteo,medium,29.0,32.3,26.1,28.8,74.0,87.0,54.0,74.3,1008.7,1014.9,1008.2,1011.2,7.1,18.7,1.3,8.2,30.0,97.4,0.2,2.3,0.0,1.9,44.7,42.0,63.0,22.0,70.0,7.0,17.0,3.0,12.0,10.0,,Bao_cao_20260306_155820.xlsx,20260306,,Kien Giang
KG_AT,Huyện An Biên - Kiên Giang,Kiên Giang,Kien Giang,An Biên,9.8167,105.0667,2026-03-06 15:49:06,2026-03-06 15:45:00,openmeteo,medium,28.2,31.1,25.7,27.8,76.0,89.0,60.0,78.2,1009.0,1014.8,1008.0,1011.2,11.6,24.5,2.9,13.1,22.0,80.2,0.1,2.9,0.0,1.1,26.8,71.0,83.0,15.0,44.0,11.0,17.0,6.0,11.0,9.0,,Bao_cao_20260306_155820.xlsx,20260306,,Kien Giang
KG_AM,Huyện An Minh - Kiên Giang,Kiên Giang,Kien Giang,An Minh,9.6667,104.95,2026-03-06 15:49:09,2026-03-06 15:45:00,openmeteo,medium,28.4,31.0,25.1,27.6,76.0,92.0,62.0,79.3,1008.9,1014.5,1008.2,1011.2,16.1,27.5,2.8,13.6,16.0,80.3,0.5,2.8,0.0,1.6,38.0,67.0,90.0,11.0,67.0,12.0,13.0,2.0,9.0,4.0,,Bao_cao_20260306_155820.xlsx,20260306,,Kien Giang
KG_CL,Huyện Châu Thành - Kiên Giang,Kiên Giang,Kien Giang,Châu Thành,9.9333,105.1667,2026-03-06 15:49:11,2026-03-06 15:45:00,openmeteo,medium,28.2,31.1,25.8,27.8,76.0,89.0,60.0,78.2,1009.0,1014.8,1008.0,1011.2,11.6,24.5,2.9,13.1,22.0,80.2,0.1,2.9,0.0,1.1,26.8,68.0,82.0,16.0,58.0,7.0,16.0,8.0,9.0,14.0,,Bao_cao_20260306_155820.xlsx,20260306,,Kien Giang
KG_GT,Huyện Giang Thành - Kiên Giang,Kiên Giang,Kien Giang,Giang Thành,10.4833,104.6333,2026-03-06 15:49:14,2026-03-06 15:45:00,openmeteo,medium,31.1,35.9,23.9,28.4,55.0,94.0,35.0,72.0,1008.5,1015.0,1007.7,1011.1,14.7,15.6,0.5,7.2,25.0,65.1,0.0,1.4,0.0,0.4,9.1,66.0,86.0,33.0,35.0,14.0,16.0,4.0,7.0,25.0,,Bao_cao_20260306_155820.xlsx,20260306,,Kien Giang
KG_GD,Huyện Gò Quao - Kiên Giang,Kiên Giang,Kien Giang,Gò Quao,9.7333,105.2667,2026-03-06 15:49:16,2026-03-06 15:45:00,openmeteo,medium,29.8,33.6,23.8,27.6,69.0,95.0,46.0,76.4,1008.9,1014.7,1007.8,1011.1,11.3,21.0,1.3,9.4,22.0,84.8,0.2,1.9,0.0,0.6,14.2,37.0,61.0,32.0,42.0,8.0,17.0,8.0,11.0,8.0,,Bao_cao_20260306_155820.xlsx,20260306,,Kien Giang
KG_HG,Huyện Hòn Đất - Kiên Giang,Kiên Giang,Kien Giang,Hòn Đất,10.2333,104.9333,2026-03-06 15:49:19,2026-03-06 15:45:00,openmeteo,medium,28.5,31.0,25.5,28.2,76.0,89.0,58.0,75.8,1008.8,1014.9,1008.0,1011.2,6.2,21.2,2.9,9.5,36.0,102.8,1.1,4.5,0.0,1.7,40.0,47.0,73.0,25.0,31.0,8.0,19.0,2.0,6.0,19.0,,Bao_cao_20260306_155820.xlsx,20260306,,Kien Giang
KG_KT,Huyện Kiên Hải - Kiên Giang,Kiên Giang,Kien Giang,Kiên Hải,9.71,104.33,2026-03-06 15:49:21,2026-03-06 15:45:00,openmeteo,medium,28.1,30.0,26.7,28.2,78.0,85.0,66.0,76.5,1009.0,1014.8,1008.5,1011.2,14.8,25.2,0.8,14.8,43.0,90.6,0.0,2.0,0.0,1.5,36.9,74.0,94.0,28.0,41.0,9.0,16.0,2.0,8.0,16.0,,Bao_cao_20260306_155820.xlsx,20260306,,Kien Giang
