station_id,station_name,province,province_std,district,latitude,longitude,timestamp,data_time,data_source,data_quality,temperature_current,temperature_max,temperature_min,temperature_avg,humidity_current,humidity_max,humidity_min,humidity_avg,pressure_current,pressure_max,pressure_min,pressure_avg,wind_speed_current,wind_speed_max,wind_speed_min,wind_speed_avg,wind_direction_current,wind_direction_avg,rain_current,rain_max,rain_min,rain_avg,rain_total,cloud_cover_current,cloud_cover_max,cloud_cover_min,cloud_cover_avg,visibility_current,visibility_max,visibility_min,visibility_avg,thunder_probability,status,_source_file,_file_date,error_reason,_province_std
ST_ST,Thành phố Sóc Trăng - Sóc Trăng,Sóc Trăng,Soc Trang,Sóc Trăng,9.6025,105.9739,2026-03-06 15:51:48,2026-03-06 15:45:00,openmeteo,medium,30.2,33.0,24.2,27.7,65.0,95.0,45.0,73.3,1008.7,1014.5,1008.3,1011.1,10.4,26.2,4.7,13.6,56.0,81.2,0.0,0.5,0.0,0.1,1.7,32.0,81.0,28.0,39.0,7.0,14.0,4.0,8.0,17.0,,Bao_cao_20260306_155820.xlsx,20260306,,Soc Trang
ST_VC,Thị xã Vĩnh Châu - Sóc Trăng,Sóc Trăng,Soc Trang,Vĩnh Châu,9.3333,105.9833,2026-03-06 15:51:50,2026-03-06 15:45:00,openmeteo,medium,30.0,32.6,24.7,27.8,64.0,94.0,50.0,73.3,1008.8,1014.5,1008.6,1011.2,15.3,30.4,5.7,17.0,75.0,80.2,0.1,0.5,0.0,0.0,1.2,51.0,75.0,12.0,55.0,6.0,12.0,6.0,6.0,28.0,,Bao_cao_20260306_155820.xlsx,20260306,,Soc Trang
ST_NG,Thị xã Ngã Năm - Sóc Trăng,Sóc Trăng,Soc Trang,Ngã Năm,9.5667,105.85,2026-03-06 15:51:52,2026-03-06 15:45:00,openmeteo,medium,29.9,33.1,23.9,27.5,70.0,95.0,46.0,74.9,1008.7,1014.5,1008.2,1011.1,9.5,23.0,4.3,11.9,25.0,81.8,0.1,2.0,0.0,0.2,4.7,56.0,84.0,30.0,37.0,7.0,14.0,3.0,11.0,23.0,,Bao_cao_20260306_155820.xlsx,20260306,,Soc Trang
ST_CL,Huyện Châu Thành - Sóc Trăng,Sóc Trăng,Soc Trang,Châu Thành,9.7,105.9,2026-03-06 15:51:55,2026-03-06 15:45:00,openmeteo,medium,29.8,33.5,23.7,27.5,70.0,95.0,45.0,75.2,1008.7,1014.6,1008.2,1011.1,9.3,21.6,3.6,11.0,13.0,82.4,0.2,3.1,0.0,0.4,10.7,28.0,85.0,14.0,46.0,10.0,18.0,3.0,12.0,27.0,,Bao_cao_20260306_155820.xlsx,20260306,,Soc Trang
ST_CT,Huyện Cù Lao Dung - Sóc Trăng,Sóc Trăng,Soc Trang,Cù Lao Dung,9.6667,106.1667,2026-03-06 15:51:57,2026-03-06 15:45:00,openmeteo,medium,30.4,33.2,24.1,27.8,63.0,95.0,44.0,73.1,1008.7,1014.5,1008.2,1011.1,10.9,25.7,4.5,13.8,63.0,81.2,0.1,0.2,0.0,0.1,1.2,27.0,84.0,10.0,42.0,13.0,10.0,7.0,8.0,0.0,,Bao_cao_20260306_155820.xlsx,20260306,,Soc Trang
ST_KS,Huyện Kế Sách - Sóc Trăng,Sóc Trăng,Soc Trang,Kế Sách,9.8167,105.9833,2026-03-06 15:51:59,2026-03-06 15:45:00,openmeteo,medium,29.8,33.5,24.1,27.5,70.0,94.0,46.0,76.0,1008.7,1014.7,1008.2,1011.1,6.5,18.2,3.6,10.3,360.0,82.6,0.2,3.2,0.0,0.6,15.0,71.0,88.0,29.0,34.0,9.0,19.0,5.0,8.0,26.0,,Bao_cao_20260306_155820.xlsx,20260306,,Soc Trang
ST_LT,Huyện Long Phú - Sóc Trăng,Sóc Trăng,Soc Trang,Long Phú,9.6167,106.1167,2026-03-06 15:52:02,2026-03-06 15:45:00,openmeteo,medium,30.4,33.2,24.1,27.8,63.0,95.0,44.0,73.1,1008.7,1014.5,1008.2,1011.1,10.9,25.7,4.5,13.8,63.0,81.2,0.1,0.2,0.0,0.1,1.2,53.0,82.0,10.0,66.0,11.0,18.0,4.0,8.0,14.0,,Bao_cao_20260306_155820.xlsx,20260306,,Soc Trang
ST_MD,Huyện Mỹ Tú - Sóc Trăng,Sóc Trăng,Soc Trang,Mỹ Tú,9.6333,105.8167,2026-03-06 15:52:04,2026-03-06 15:45:00,openmeteo,medium,29.9,33.1,23.9,27.5,70.0,95.0,46.0,74.9,1008.7,1014.5,1008.2,1011.1,9.5,23.0,4.3,11.9,25.0,81.8,0.1,2.0,0.0,0.2,4.7,80.0,60.0,40.0,61.0,15.0,16.0,7.0,9.0,12.0,,Bao_cao_20260306_155820.xlsx,20260306,,Soc Trang
ST_MX,Huyện Mỹ Xuyên - Sóc Trăng,Sóc Trăng,Soc Trang,Mỹ Xuyên,9.5333,105.9833,2026-03-06 15:52:07,2026-03-06 15:45:00,openmeteo,medium,30.3,32.8,24.3,27.7,63.0,94.0,47.0,73.7,1008.7,1014.5,1008.5,1011.1,13.0,29.1,5.1,15.0,71.0,81.1,0.1,0.2,0.0,0.0,1.0,28.0,74.0,17.0,62.0,13.0,19.0,7.0,9.0,17.0,,Bao_cao_20260306_155820.xlsx,20260306,,Soc Trang
ST_TN,Huyện Thạnh Trị - Sóc Trăng,Sóc Trăng,Soc Trang,Thạnh Trị,9.4667,105.7167,2026-03-06 15:52:09,2026-03-06 15:45:00,openmeteo,medium,29.8,33.0,23.9,27.6,69.0,95.0,45.0,75.1,1008.8,1014.5,1008.2,1011.1,11.8,26.5,3.3,13.1,38.0,80.1,0.1,1.7,0.0,0.2,5.6,77.0,70.0,26.0,36.0,13.0,10.0,6.0,10.0,9.0,,Bao_cao_20260306_155820.xlsx,20260306,,Soc Trang
