station_id,station_name,province,province_std,district,latitude,longitude,timestamp,data_time,data_source,data_quality,temperature_current,temperature_max,temperature_min,temperature_avg,humidity_current,humidity_max,humidity_min,humidity_avg,pressure_current,pressure_max,pressure_min,pressure_avg,wind_speed_current,wind_speed_max,wind_speed_min,wind_speed_avg,wind_direction_current,wind_direction_avg,rain_current,rain_max,rain_min,rain_avg,rain_total,cloud_cover_current,cloud_cover_max,cloud_cover_min,cloud_cover_avg,visibility_current,visibility_max,visibility_min,visibility_avg,thunder_probability,status,_source_file,_file_date,error_reason,_province_std
TV_TV,Thành phố Trà Vinh - Trà Vinh,Trà Vinh,Tra Vinh,Trà Vinh,9.9347,106.3453,2026-03-06 15:57:45,2026-03-06 15:45:00,openmeteo,medium,30.2,33.0,24.4,27.7,62.0,93.0,43.0,73.8,1008.7,1014.7,1008.4,1011.2,10.8,24.1,5.0,13.4,86.0,85.2,0.2,0.7,0.0,0.1,2.7,25.0,63.0,18.0,62.0,10.0,16.0,5.0,10.0,20.0,,Bao_cao_20260306_155820.xlsx,20260306,,Tra Vinh
TV_CL,Huyện Càng Long - Trà Vinh,Trà Vinh,Tra Vinh,Càng Long,9.9667,106.2,2026-03-06 15:57:47,2026-03-06 15:45:00,openmeteo,medium,29.7,33.2,24.3,27.5,72.0,95.0,47.0,75.5,1008.8,1014.7,1008.1,1011.2,5.0,19.2,2.9,10.7,60.0,84.0,0.1,3.3,0.0,0.5,12.8,77.0,80.0,17.0,38.0,13.0,11.0,7.0,11.0,29.0,,Bao_cao_20260306_155820.xlsx,20260306,,Tra Vinh
TV_CN,Huyện Cầu Ngang - Trà Vinh,Trà Vinh,Tra Vinh,Cầu Ngang,9.8,106.4333,2026-03-06 15:57:50,2026-03-06 15:45:00,openmeteo,medium,30.3,32.6,24.3,27.5,59.0,93.0,45.0,74.5,1008.7,1014.7,1008.6,1011.2,12.4,26.0,5.2,14.3,80.0,83.9,0.1,0.4,0.0,0.1,1.7,33.0,83.0,34.0,38.0,5.0,14.0,3.0,9.0,10.0,,Bao_cao_20260306_155820.xlsx,20260306,,Tra Vinh
TV_TV,Thành phố Trà Vinh - Trà Vinh,Trà Vinh,Tra Vinh,Trà Vinh,9.9347,106.3453,2026-03-08 12:51:46,2026-03-08 12:45:00,openmeteo,medium,30.3,33.0,24.1,27.6,61.0,92.0,40.0,71.7,1011.2,1014.6,1008.7,1011.6,13.1,26.7,5.4,13.8,82.0,85.3,0.0,0.6,0.0,0.1,3.5,50.0,88.0,22.0,38.0,7.0,20.0,2.0,9.0,22.0,,Bao_cao_20260308_125220.xlsx,20260308,,Tra Vinh
TV_CL,Huyện Càng Long - Trà Vinh,Trà Vinh,Tra Vinh,Càng Long,9.9667,106.2,2026-03-08 12:51:49,2026-03-08 12:45:00,openmeteo,medium,31.5,33.2,23.8,27.5,53.0,95.0,41.0,72.9,1010.9,1014.6,1008.6,1011.5,9.4,21.3,2.9,11.1,50.0,86.8,0.0,0.7,0.0,0.2,3.9,76.0,76.0,17.0,43.0,13.0,12.0,2.0,7.0,11.0,,Bao_cao_20260308_125220.xlsx,20260308,,Tra Vinh
TV_CN,Huyện Cầu Ngang - Trà Vinh,Trà Vinh,Tra Vinh,Cầu Ngang,9.8,106.4333,2026-03-08 12:51:51,2026-03-08 12:45:00,openmeteo,medium,30.2,32.7,23.9,27.5,60.0,91.0,40.0,72.0,1011.2,1014.5,1008.8,1011.6,14.0,27.8,6.2,14.7,78.0,84.0,0.0,0.2,0.0,0.1,1.5,22.0,83.0,32.0,43.0,14.0,20.0,8.0,7.0,17.0,,Bao_cao_20260308_125220.xlsx,20260308,,Tra Vinh
TV_TV,Thành phố Trà Vinh - Trà Vinh,Trà Vinh,Tra Vinh,Trà Vinh,9.9347,106.3453,2026-03-09 11:53:44,2026-03-09 11:45:00,openmeteo,medium,30.2,32.2,23.9,27.3,65.0,93.0,45.0,71.7,1012.5,1014.7,1008.9,1011.8,13.8,27.4,6.5,14.9,70.0,85.6,0.0,0.2,0.0,0.0,0.6,70.0,69.0,17.0,48.0,15.0,10.0,7.0,9.0,27.0,,Bao_cao_20260309_115418.xlsx,20260309,,Tra Vinh
TV_CL,Huyện Càng Long - Trà Vinh,Trà Vinh,Tra Vinh,Càng Long,9.9667,106.2,2026-03-09 11:53:46,2026-03-09 11:45:00,openmeteo,medium,30.3,32.6,23.2,27.2,65.0,96.0,45.0,72.8,1012.4,1014.7,1008.6,1011.8,10.2,25.0,5.1,12.0,67.0,87.4,0.0,0.3,0.0,0.1,1.5,72.0,70.0,15.0,63.0,8.0,11.0,8.0,7.0,15.0,,Bao_cao_20260309_115418.xlsx,20260309,,Tra Vinh
TV_CN,Huyện Cầu Ngang - Trà Vinh,Trà Vinh,Tra Vinh,Cầu Ngang,9.8,106.4333,2026-03-09 11:53:48,2026-03-09 11:45:00,openmeteo,medium,30.2,31.9,24.0,27.2,64.0,93.0,47.0,72.2,1012.5,1014.7,1008.9,1011.8,16.2,28.2,6.6,15.9,69.0,84.3,0.0,0.3,0.0,0.0,0.4,42.0,85.0,11.0,68.0,12.0,19.0,7.0,12.0,10.0,,Bao_cao_20260309_115418.xlsx,20260309,,Tra Vinh
TV_TV,Thành phố Trà Vinh - Trà Vinh,Trà Vinh,Tra Vinh,Trà Vinh,9.9347,106.3453,2026-03-09 12:14:41,2026-03-09 12:00:00,openmeteo,medium,30.4,32.2,23.9,27.3,64.0,93.0,45.0,71.7,1012.3,1014.7,1008.9,1011.8,13.8,27.4,6.5,14.9,70.0,85.6,0.0,0.2,0.0,0.0,0.6,21.0,91.0,22.0,49.0,8.0,13.0,4.0,6.0,23.0,,Bao_cao_20260309_121514.xlsx,20260309,,Tra Vinh
