location_station_id,location_station_name,location_province,location_district,location_latitude,location_longitude,timestamp,data_source,data_quality,data_time,temperature_current,temperature_max,temperature_min,temperature_avg,humidity_current,humidity_max,humidity_min,humidity_avg,pressure_current,pressure_max,pressure_min,pressure_avg,wind_speed_current,wind_speed_max,wind_speed_min,wind_speed_avg,wind_direction_current,wind_direction_avg,rain_current,rain_max,rain_min,rain_avg,rain_total,cloud_cover_current,cloud_cover_max,cloud_cover_min,cloud_cover_avg,visibility_current,visibility_max,visibility_min,visibility_avg,thunder_probability,y_true,y_pred,abs_err
CB_BL,Huyện Bảo Lâm - Cao Bằng,Cao Bằng,Bảo Lâm,22.8667,105.5,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,24.7,26.1,17.7,20.3,70.0,99.0,61.0,84.8,1015.3,1023.4,1007.4,1016.2,5.8,10.1,0.4,5.0,187.0,182.1,0.0,1.5,0.0,0.9,21.4,77.0,92.0,29.0,57.0,12.0,18.0,8.0,10.0,1.0,21.4,0.4973739378554329,20.902626062144567
CM_TV,Huyện Thới Bình - Cà Mau,Cà Mau,Thới Bình,9.35,105.1,2026-02-16 09:37:00,statistical,medium,2026-02-16 09:37:00,33.0,35.4,27.7,31.6,67.0,85.0,65.0,73.3,1009.0,1020.0,1005.0,1012.2,4.7,5.7,1.1,3.0,304.0,92.5,0.0,7.1,0.0,0.8,20.3,43.0,78.0,21.0,55.0,8.0,13.0,8.0,11.0,15.0,20.3,0.4444624572275382,19.855537542772463
Bảo Sơn,Bảo Sơn,Bắc Giang,Châu Thành,13.2167,106.3366,2026-02-16 09:36:00,openmeteo,medium,2026-02-16 09:36:00,27.9,31.3,19.3,24.05,62.0,94.0,45.0,73.6,1013.5,1017.85,1007.0,1013.7,10.0,17.7,0.8,7.8,89.0,101.6,0.0,0.1,0.0,0.0,19.6,50.0,77.0,25.0,51.0,10.0,15.0,5.0,9.0,15.0,19.6,1.6038141573869402,17.996185842613063
QB_LT,Huyện Lệ Thủy - Quảng Bình,Quảng Bình,Lệ Thủy,17.2167,106.8,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,26.3,27.4,19.9,22.9,76.0,98.0,67.0,89.2,1014.5,1020.7,1009.1,1015.2,10.6,13.1,0.7,5.9,72.0,65.6,0.0,0.9,0.0,0.7,17.6,56.0,85.0,24.0,61.0,10.0,18.0,6.0,9.0,21.0,17.6,0.44465751780426743,17.155342482195735
Minh Tiến,Minh Tiến,Yên Bái,Châu Thành,13.2167,106.3366,2026-02-16 09:36:00,openmeteo,medium,2026-02-16 09:36:00,27.9,31.3,19.3,24.05,62.0,94.0,45.0,73.6,1013.5,1017.85,1007.0,1013.7,10.0,17.7,0.8,7.8,89.0,101.6,0.0,0.1,0.0,0.0,17.0,50.0,77.0,25.0,51.0,10.0,15.0,5.0,9.0,15.0,17.0,0.5393484462460758,16.460651553753923
Côn Minh,Côn Minh,Bắc Kạn,Châu Thành,13.2167,106.3366,2026-02-16 09:36:00,openmeteo,medium,2026-02-16 09:36:00,27.9,31.3,19.3,24.05,62.0,94.0,45.0,73.6,1013.5,1017.85,1007.0,1013.7,10.0,17.7,0.8,7.8,89.0,101.6,0.0,0.1,0.0,0.0,18.0,50.0,77.0,25.0,51.0,10.0,15.0,5.0,9.0,15.0,18.0,1.7951739992444526,16.204826000755546
Tân Sơn,Tân Sơn,Bắc Giang,Châu Thành,13.2167,106.3366,2026-02-16 09:36:00,openmeteo,medium,2026-02-16 09:36:00,27.9,31.3,19.3,24.05,62.0,94.0,45.0,73.6,1013.5,1017.85,1007.0,1013.7,10.0,17.7,0.8,7.8,89.0,101.6,0.0,0.1,0.0,0.0,16.8,50.0,77.0,25.0,51.0,10.0,15.0,5.0,9.0,15.0,16.8,1.013281504031672,15.786718495968328
Thanh Thịnh,Thanh Thịnh,Bắc Kạn,Châu Thành,13.2167,106.3366,2026-02-16 09:36:00,openmeteo,medium,2026-02-16 09:36:00,27.9,31.3,19.3,24.05,62.0,94.0,45.0,73.6,1013.5,1017.85,1007.0,1013.7,10.0,17.7,0.8,7.8,89.0,101.6,0.0,0.1,0.0,0.0,16.0,50.0,77.0,25.0,51.0,10.0,15.0,5.0,9.0,15.0,16.0,1.1369743843631641,14.863025615636836
Cốc Đán,Cốc Đán,Bắc Kạn,Châu Thành,13.2167,106.3366,2026-02-16 09:36:00,openmeteo,medium,2026-02-16 09:36:00,27.9,31.3,19.3,24.05,62.0,94.0,45.0,73.6,1013.5,1017.85,1007.0,1013.7,10.0,17.7,0.8,7.8,89.0,101.6,0.0,0.1,0.0,0.0,16.2,50.0,77.0,25.0,51.0,10.0,15.0,5.0,9.0,15.0,16.2,1.6060172068224254,14.593982793177574
CB_BC,Huyện Bảo Lạc - Cao Bằng,Cao Bằng,Bảo Lạc,22.95,105.7333,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,23.9,27.0,17.2,20.6,76.0,95.0,59.0,81.9,1016.4,1023.4,1007.0,1016.1,7.0,13.0,0.0,5.4,249.0,166.9,0.0,1.2,0.0,0.6,14.3,35.0,81.0,35.0,54.0,15.0,16.0,8.0,6.0,23.0,14.3,0.4687512604739732,13.831248739526028
CB_CB,Thành phố Cao Bằng - Cao Bằng,Cao Bằng,Cao Bằng,22.6667,106.25,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,23.8,26.5,16.1,19.7,77.0,98.0,61.0,85.4,1016.2,1024.1,1007.2,1016.7,2.8,17.1,0.5,4.7,130.0,146.2,0.0,1.4,0.0,0.6,13.8,43.0,83.0,20.0,48.0,9.0,14.0,6.0,12.0,14.0,13.8,0.563018005237586,13.236981994762415
CB_CB,Thành phố Cao Bằng - Cao Bằng,Cao Bằng,Cao Bằng,22.6667,106.25,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,24.7,26.5,16.1,19.7,72.0,98.0,61.0,85.4,1015.5,1024.1,1007.2,1016.7,4.1,17.1,0.5,4.7,165.0,146.2,0.0,1.4,0.0,0.6,13.8,80.0,86.0,17.0,35.0,15.0,17.0,2.0,11.0,22.0,13.8,0.5670008056948201,13.232999194305181
KG_PQ,Huyện Phú Quốc - Kiên Giang,Kiên Giang,Phú Quốc,10.227,103.9679,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,28.8,32.0,26.5,28.2,71.0,87.0,52.0,76.2,1011.4,1014.5,1006.3,1010.5,13.1,16.3,0.0,7.0,111.0,140.9,0.0,2.1,0.0,0.6,13.4,51.0,73.0,11.0,33.0,6.0,11.0,6.0,12.0,26.0,13.4,0.4346978266335636,12.965302173366437
